"Name","State","Notes","User","Tags","Created","Runtime","dataset_name","end_shape","full_run","use_parka","geodesic_initialization","geodesic_residuals","n_times","noise_factor","sped_up","start_shape","ellipsoid_dims","n_steps","n_subdivisions","tol_factor","euclidean_subspace_via_diffs","euclidean_subspace_via_ratio","geodesic_coef_err","geodesic_duration_time","geodesic_intercept_err","geodesic_tol","linear_coef_err","linear_duration_time","linear_intercept_err","mesh_diameter","ellipse_ratio_h_v","n_faces","test_diff_tolerance"
"run_fiopm7ig","running","-","adelemyers","","2023-07-05T20:10:24.000Z","901","synthetic","ellipsoid","","","warm_start","false","5","0","true","sphere","[2,2,3]","3","1","0.001","","","","","","","","","","","","",""
"generous-firefly-452","killed","-","adelemyers","","2023-07-05T20:09:53.000Z","13","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"run_l0j1bos8","running","-","adelemyers","","2023-07-05T11:17:19.000Z","32883","synthetic","ellipsoid","","","warm_start","false","10","0","true","sphere","[2,2,10]","3","4","0.001","false","false","","","","2362983.8400000017","2541.7757388787204","28386.356034994125","171.4734115201197","60.000000000000014","0.2","5120","0.06000000000000002"
"run_wv8qyvwk","finished","-","adelemyers","","2023-07-04T21:42:37.000Z","48880","synthetic","ellipsoid","true","","warm_start","false","10","0","true","sphere","[2,2,3]","3","4","0.001","false","false","277.32137824650687","46319.23036813736","71.79789983456124","2362983.8400000017","277.32137824650687","43791.77521944046","71.79789983456124","60.000000000000014","0.6666666666666666","5120","0.06000000000000002"
"run_3lpwb0s5","finished","-","adelemyers","","2023-07-04T20:22:18.000Z","4673","synthetic","ellipsoid","true","","warm_start","false","10","0","true","sphere","[10,10,2]","3","3","0.001","false","false","191.11571567059244","4248.847982406616","255.8791208785329","148379.04000000007","191.11571567059244","3837.123554944992","255.8791208785329","60.000000000000014","5","1280","0.06000000000000002"
"run_99jp9gcm","finished","-","adelemyers","","2023-07-04T18:29:59.000Z","6737","synthetic","ellipsoid","true","","warm_start","false","10","0","true","sphere","[2,2,10]","3","3","0.001","false","false","745.6900485819268","5765.326120853424","152.0300868096785","148379.04000000007","745.6900485819268","4801.615156650543","152.0300868096785","60.000000000000014","0.2","1280","0.06000000000000002"
"run_4tv74s1e","finished","-","adelemyers","","2023-07-04T16:16:23.000Z","2071","synthetic","ellipsoid","true","","warm_start","false","10","0","true","sphere","[10,10,2]","3","2","0.001","false","false","1500.090641495878","1867.6060976982117","75.79181406685464","9447.840000000004","1500.090641495878","1678.858787536621","75.79181406685464","60.00000000000001","5","320","0.06000000000000001"
"run_c37idpbb","finished","-","adelemyers","","2023-07-04T15:14:09.000Z","3732","synthetic","ellipsoid","true","","warm_start","false","10","0","true","sphere","[2,2,10]","3","2","0.001","false","false","40.77175400655558","3530.0078978538513","14.938535661632152","9447.840000000004","40.77175400655558","3342.0181431770325","14.938535661632152","60.00000000000001","0.2","320","0.06000000000000001"
"run_3200wflw","finished","-","adelemyers","","2023-07-04T15:04:30.000Z","436","synthetic","ellipsoid","true","","warm_start","false","10","0","true","sphere","[10,10,2]","3","1","0.001","false","false","764.8237318549935","385.5088391304016","45.2287911716127","635.0400000000002","764.8237318549935","348.5724425315857","45.2287911716127","60.00000000000001","5","80","0.06000000000000001"
"run_f1o9u3cy","finished","-","adelemyers","","2023-07-04T14:53:15.000Z","673","synthetic","ellipsoid","true","","warm_start","false","10","0","true","sphere","[2,2,10]","3","1","0.001","false","false","18.708655224074825","635.2927711009979","6.558690986868445","635.0400000000002","18.708655224074825","611.7760531902313","6.558690986868445","60.00000000000001","0.2","80","0.06000000000000001"
