"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset_name","diameter","n_faces","n_steps","n_times","n_vertices","noise_factor","subdivisions","diff_dist","diff_dist_per_vertex","diff_duration","diff_duration_per_vertex","diff_seq_duration","diff_seq_duration_per_time_and_vertex","diff_seq_per_time_and_vertex","diff_seq_per_time_vertex_diameter","geodesic_dist","geodesic_dist_per_vertex","geodesic_duration","geodesic_regression_duration","geodesic_regression_duration_per_vertex","line_duration","linear_dist","linear_dist_per_vertex","linear_regression_duration","linear_regression_duration_per_vertex","relative_diff_dist","relative_diff_duration","relative_diff_seq_duration","relative_diff_seq_per_time_and_vertex","run_name"
"run_1bsy3km0","running","-","ninamiolane","","2023-07-06T09:29:11.000Z","2581","","synthetic","162000","1280","20","5","642","1","3","","","","","","","","","","","","","","","","","","","","","","",""
"run_c5ewczah","finished","-","ninamiolane","","2023-07-06T08:53:32.000Z","2137","","synthetic","5400","320","20","10","162","1","2","-56397612818.35974","-348133412.4590107","-163.44827365875244","-1.0089399608564966","-1961.5503990650177","-1.210833579669764","144.50293278230055","0.026759802367092692","56397738256.6645","348134186.76953393","1961.5507066249847","163.4483962059021","1.0089407173203833","0.0003075599670410156","125438.30475544532","774.3105231817611","0.00012254714965820312","7.564638867790316e-7","-449604.3926001121","-1333758.2645914396","-6377781.926356589","-3936.902423676907","run_c5ewczah"
"run_uu30semj","finished","-","ninamiolane","","2023-07-06T08:34:04.000Z","1167","","synthetic","5400","320","20","5","162","1","2","-53889596934.28099","-332651832.92766047","-142.40207433700562","-0.8790251502284298","-1010.4302513599396","-1.2474447547653575","193.49883017220947","0.03583311669855731","53889711859.95795","332652542.3454194","1010.4304873943328","142.40223503112793","0.8790261421674563","0.00023603439331054688","114925.67695909445","709.4177590067558","0.00016069412231445312","9.919390266324269e-7","-468908.24017910246","-886168.5311572701","-4280860.247474748","-5285.012651203392","run_uu30semj"
"run_76bkw2k3","finished","-","ninamiolane","","2023-07-06T08:25:48.000Z","494","","synthetic","180","80","20","10","42","1","1","-1761807.9056933892","-41947.80727841403","-18.905155658721924","-0.45012275377909344","-462.1526856422424","-1.1003635372434344","8.988010475150753","0.0499333915286153","1763830.782215174","41995.97100512319","462.1530072689056","18.905250549316406","0.4501250130789621","0.0003216266632080078","2022.8765217848695","48.16372670916356","0.00009489059448242188","0.0000022592998686290923","-870.941892260864","-199231.0804020101","-1436922.8005930318","-3421.2447633167426","run_76bkw2k3"
"run_mvg1ftc9","finished","-","ninamiolane","","2023-07-06T08:21:09.000Z","277","","synthetic","180","80","20","5","42","1","1","-1442037.5810105985","-34334.228119299965","-28.344722032546997","-0.6748743341082618","-236.2472803592682","-1.1249870493298486","13.536304501546844","0.07520169167526024","1444121.9785103996","34383.85663119999","236.24751567840576","28.34484624862671","0.6748772916339693","0.0002353191375732422","2084.397499801082","49.62851190002576","0.00012421607971191406","0.000002957525707426526","-691.8246549174113","-228188.8310940499","-1003944.1874366768","-4780.686606841318","run_mvg1ftc9"
"run_u261rppe","finished","-","ninamiolane","","2023-07-06T07:01:13.000Z","4794","","synthetic","162000","1280","10","10","642","1","3","-2023196025994158","-3151395679118.626","-1265.938607931137","-1.9718669905469424","-3505.572121858597","-0.5460392713175385","2045.447368565814","0.012626218324480331","2023196033030451","3151395690078.584","3505.57262635231","1265.938845396042","1.9718673604299717","0.0005044937133789062","7036293.047667573","10959.95801817379","0.00023746490478515625","3.69883029260368e-7","-287537203.50871646","-5331055.58935743","-6948693.370982987","-1082.3509923649513","run_u261rppe"
"run_r2pxb1vy","finished","-","ninamiolane","","2023-07-06T06:03:27.000Z","3464","","synthetic","162000","1280","10","5","642","1","3","-1654668886968481.2","-2577365867552.1514","-1133.7682092189789","-1.7659940953566649","-2307.4530963897705","-0.7188327403083398","3005.303499849698","0.018551256171911716","1654668894041945.2","2577365878570.0083","2307.4533746242523","1133.7683598995209","1.765994330061559","0.00027823448181152344","7073463.994012059","11017.856688492304","0.0001506805419921875","2.347048940688279e-7","-233926247.22048745","-7524317.30221519","-8293196.01713796","-2583.550161102168","run_r2pxb1vy"
"run_odflqhnl","finished","-","ninamiolane","","2023-07-06T05:42:48.000Z","1237","","synthetic","5400","320","10","10","162","1","2","-52627813413.21294","-324863045.7605737","-136.0508759021759","-0.8398202216183698","-1087.8562767505646","-0.6715162202163979","131.741295718083","0.024396536244089443","52627927775.5872","324863751.7011556","1087.856608390808","136.0510070323944","0.8398210310641631","0.00033164024353027344","114362.37427010643","705.9405819142372","0.00013113021850585938","8.094457932460455e-7","-460184.6870450074","-1037524.9690909092","-3280230.002156722","-2024.8333346646432","run_odflqhnl"
"run_z3i9x77n","finished","-","ninamiolane","","2023-07-06T05:28:54.000Z","832","","synthetic","5400","320","10","5","162","1","2","-40748449714.60783","-251533640.21362856","-186.2099792957306","-1.1494443166403123","-631.8846940994263","-0.7801045606165756","200.75632016257688","0.03717709632640312","40748568948.66768","251534376.2263437","631.8849375247955","186.21010971069336","1.1494451216709467","0.0002434253692626953","119234.05984991632","736.0127151229403","0.0001304149627685547","8.050306343737943e-7","-341751.75923640595","-1427826.8025594149","-2595804.6033300688","-3204.697041148233","run_z3i9x77n"
"run_o0ibhro8","finished","-","ninamiolane","","2023-07-06T05:23:55.000Z","298","","synthetic","180","80","10","10","42","1","1","-1447301.5047022875","-34459.559635768754","-32.30336046218872","-0.7691276300521124","-252.94013810157776","-0.6022384240513756","8.555300246938602","0.047529445816325566","1449226.9972989524","34505.4046975941","252.940465927124","32.3034610748291","0.769130025591169","0.00032782554626464844","1925.492596664646","45.845061825348715","0.00010061264038085938","0.000002395539056687128","-751.6525938397868","-321066.6208530806","-771569.3330909091","-1837.0698406926408","run_o0ibhro8"
