"Name","State","Notes","User","Tags","Created","Runtime","dataset_name","end_shape","euclidean_subspace","full_run","use_parka","geodesic_initialization","geodesic_residuals","n_times","noise_factor","sped_up","start_shape","ellipse_dimensions","n_steps","n_subdivisions","tol_factor","euclidean_subspace_via_diffs","euclidean_subspace_via_ratio","geodesic_coef_err","geodesic_duration_time","geodesic_intercept_err","geodesic_tol","linear_coef_err","linear_duration_time","linear_intercept_err","mesh_diameter","ellipse_ratio_h_v","n_faces","test_diff_tolerance"
"run_6dyjvp0x","running","-","adelemyers","","2023-07-10T14:09:57.000Z","5041","synthetic","ellipsoid","false","","","random","false","10","0","true","sphere","[2,2,3]","3","4","0.001","","","","","","2362983.8400000017","277.32137824650687","128.00105047225952","71.79789983456124","60.000000000000014","0.6666666666666666","5120","0.06000000000000002"
"run_utuypg5i","finished","-","adelemyers","","2023-07-10T13:46:25.000Z","1267","synthetic","ellipsoid","false","true","","random","false","10","0","true","sphere","[10,10,2]","3","3","0.001","","","5602.496002032481","629.0832188129425","761.5292296786095","148379.04000000007","191.11571567059244","8.113730430603027","255.8791208785329","60.000000000000014","5","1280","0.06000000000000002"
"run_837v98za","finished","-","adelemyers","","2023-07-10T13:25:36.000Z","1246","synthetic","ellipsoid","false","true","","random","false","10","0","true","sphere","[2,2,10]","3","3","0.001","","","3998.64196969613","620.9694404602051","762.057278362885","148379.04000000007","745.6900485819268","8.099342107772827","152.0300868096785","60.000000000000014","0.2","1280","0.06000000000000002"
"run_dnc0o6yj","finished","-","adelemyers","","2023-07-10T12:42:33.000Z","2580","synthetic","ellipsoid","false","true","","random","false","10","0","true","sphere","[2,2,3]","3","3","0.001","","","1076.462686533244","1288.9280443191528","762.6554182318085","148379.04000000007","218.53224752799807","8.250939846038818","57.57377056290558","60.000000000000014","0.6666666666666666","1280","0.06000000000000002"
"run_hmnywdwb","finished","-","adelemyers","","2023-07-10T12:38:23.000Z","198","synthetic","ellipsoid","false","true","","random","false","10","0","true","sphere","[10,10,2]","3","2","0.001","","","2813.991952483668","94.71712470054626","384.06807157079544","9447.840000000004","1500.090641495878","0.5402064323425293","75.79181406685464","60.00000000000001","5","320","0.06000000000000001"
"run_019wga8f","finished","-","adelemyers","","2023-07-10T12:32:31.000Z","349","synthetic","ellipsoid","false","true","","random","false","10","0","true","sphere","[2,2,10]","3","2","0.001","","","2008.3272230300597","167.90429544448853","380.7768214056565","9447.840000000004","40.77175400655558","0.5536441802978516","14.938535661632152","60.00000000000001","0.2","320","0.06000000000000001"
"run_b055ubyg","finished","-","adelemyers","","2023-07-10T12:26:20.000Z","369","synthetic","ellipsoid","false","true","","random","false","10","0","true","sphere","[2,2,3]","3","2","0.001","","","541.1764493147483","176.91088438034058","382.9787802934956","9447.840000000004","50.22249868906619","0.5517523288726807","13.288981540678176","60.00000000000001","0.6666666666666666","320","0.06000000000000001"
"run_1ho49wfo","finished","-","adelemyers","","2023-07-10T12:24:34.000Z","78","synthetic","ellipsoid","false","true","","random","false","10","0","true","sphere","[10,10,2]","3","1","0.001","","","1431.7035444385592","31.573655128479004","196.66273196543816","635.0400000000002","764.8237318549935","0.07427263259887695","45.2287911716127","60.00000000000001","5","80","0.06000000000000001"
"run_d0dmlbvf","finished","-","adelemyers","","2023-07-10T12:23:14.000Z","77","synthetic","ellipsoid","false","true","","random","false","10","0","true","sphere","[2,2,10]","3","1","0.001","","","1023.1517236443336","32.89628314971924","197.06488313995752","635.0400000000002","18.708655224074825","0.07419443130493164","6.558690986868445","60.00000000000001","0.2","80","0.06000000000000001"
"run_vslnccbn","finished","-","adelemyers","","2023-07-10T12:21:50.000Z","81","synthetic","ellipsoid","false","true","","random","false","10","0","true","sphere","[2,2,3]","3","1","0.001","","","275.1921176385063","34.54751634597778","194.38574329057823","635.0400000000002","15.358122146183016","0.08331084251403809","4.095499238982127","60.00000000000001","0.6666666666666666","80","0.06000000000000001"
"run_2nqrs2tj","finished","-","adelemyers","","2023-07-10T10:57:07.000Z","5020","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[10,10,2]","3","4","0.001","","","11193.738257623245","2613.6847639083862","1522.2853469320112","590745.9600000004","1697.5108740107785","127.69264602661131","365.0052065924968","60.000000000000014","5","5120","0.06311069282203044"
"run_jxhyxu8p","finished","-","adelemyers","","2023-07-10T10:13:18.000Z","2627","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[2,2,10]","3","4","0.001","","","7985.404245695164","1405.6382281780243","1521.0086702950632","590745.9600000004","2798.449144604792","128.200932264328","130.05577502991642","60.000000000000014","0.2","5120","0.06302328760315669"
"run_at32lbh4","finished","-","adelemyers","","2023-07-10T09:39:05.000Z","2051","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[2,2,3]","3","4","0.001","","","2149.538653007963","1098.7815790176392","1520.4053112314173","590745.9600000004","133.72240174420665","128.12284421920776","45.89053302423058","60.000000000000014","0.6666666666666666","5120","0.0638587980830517"
"run_mau4ssiq","finished","-","adelemyers","","2023-07-10T09:20:05.000Z","1077","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[10,10,2]","3","3","0.001","","","5602.940790786191","541.1330986022949","761.8562874688344","37094.76000000002","228.3388959582309","8.142926216125488","418.68161778646066","60.000000000000014","5","1280","0.06250032161456871"
"run_g4q7hkb5","finished","-","adelemyers","","2023-07-10T09:11:02.000Z","541","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[2,2,10]","3","3","0.001","","","4000.42314263648","269.9236168861389","761.5459646230723","37094.76000000002","855.0330431948629","8.122119426727295","101.73532255569717","60.000000000000014","0.2","1280","0.06239562196551371"
"run_c2sl9lhg","finished","-","adelemyers","","2023-07-10T09:00:35.000Z","626","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[2,2,3]","3","3","0.001","","","1077.1740977327772","312.34425020217896","761.0286077592326","37094.76000000002","52.17281377196407","8.143299341201782","20.684178039569524","60.000000000000014","0.6666666666666666","1280","0.06236482637615139"
"run_myga5x3a","finished","-","adelemyers","","2023-07-10T08:57:44.000Z","141","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[10,10,2]","3","2","0.001","","","2814.608114084387","65.45941376686096","382.7881780754748","2361.960000000001","1438.38263265031","0.5543041229248047","31.38538705931797","60.00000000000001","5","320","0.06228819180100455"
"run_hb0h9pu0","finished","-","adelemyers","","2023-07-10T08:55:28.000Z","134","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[2,2,10]","3","2","0.001","","","2007.7937747674575","61.98827314376831","382.33907759492354","2361.960000000001","39.82810074237216","0.5392642021179199","23.488278643723145","60.00000000000001","0.2","320","0.06243379010180653"
"run_roqh5ppw","finished","-","adelemyers","","2023-07-10T08:51:02.000Z","264","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[2,2,3]","3","2","0.001","","","540.2860566413415","125.9749321937561","381.42276130583224","2361.960000000001","21.693935586683317","0.5428106784820557","10.086652604300385","60.00000000000001","0.6666666666666666","320","0.062335056400361126"
"run_0q448m0y","finished","-","adelemyers","","2023-07-10T08:50:09.000Z","32","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[10,10,2]","3","1","0.001","","","1432.5291536490847","9.866299390792848","194.1096268835379","158.76000000000005","742.3491553756195","0.07100272178649902","36.698855179419624","60.00000000000001","5","80","0.062304832234724536"
"run_i6om919r","finished","-","adelemyers","","2023-07-10T08:49:35.000Z","32","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[2,2,10]","3","1","0.001","","","1021.052588931056","10.726850271224976","194.34114752920303","158.76000000000005","14.748705273602503","0.0732114315032959","5.737503773028221","60.00000000000001","0.2","80","0.06152550471095304"
"run_7jtyzd07","finished","-","adelemyers","","2023-07-10T08:48:53.000Z","40","synthetic","ellipsoid","false","true","","random","false","5","0.01","true","sphere","[2,2,3]","3","1","0.001","","","274.81238630039843","14.127023220062256","194.29456777377848","158.76000000000005","10.674522444113553","0.07189750671386719","5.156452787760161","60.00000000000001","0.6666666666666666","80","0.06174073650995677"
"run_veljpu38","finished","-","adelemyers","","2023-07-10T08:18:18.000Z","1777","synthetic","ellipsoid","false","true","","random","false","5","0.001","true","sphere","[10,10,2]","3","4","0.001","","","11193.453273713694","967.5546684265136","1521.651676948099","590745.9600000004","1694.9242907408875","127.62455224990843","362.9405820365385","60.000000000000014","5","5120","0.060270776443358896"
"run_esgxd0kw","finished","-","adelemyers","","2023-07-10T07:58:00.000Z","1216","synthetic","ellipsoid","false","true","","random","false","5","0.001","true","sphere","[2,2,10]","3","4","0.001","","","7990.277098557745","683.7991833686829","1521.1316527008912","590745.9600000004","2797.0681778558906","127.3808732032776","123.14641226733316","60.000000000000014","0.2","5120","0.060310385580293696"
"run_qwi6xl4b","finished","-","adelemyers","","2023-07-10T06:48:37.000Z","4161","synthetic","ellipsoid","false","true","","random","false","5","0.001","true","sphere","[2,2,3]","3","4","0.001","","","2149.793744050458","2177.256987810135","1521.6765525102371","590745.9600000004","104.48770513786845","127.79335021972656","21.286125454062876","60.000000000000014","0.6666666666666666","5120","0.06024908476882065"
