Name,State,Notes,User,Tags,Created,Runtime,dataset_name,end_shape,euclidean_subspace,full_run,use_parka,geodesic_initialization,geodesic_residuals,n_times,noise_factor,sped_up,start_shape,ellipse_dimensions,n_steps,n_subdivisions,tol_factor,euclidean_subspace_via_diffs,euclidean_subspace_via_ratio,geodesic_coef_err,geodesic_duration_time,geodesic_intercept_err,geodesic_tol,linear_coef_err,linear_duration_time,linear_intercept_err,mesh_diameter,ellipse_ratio_h_v,n_faces,test_diff_tolerance
run_iefgn7q3,finished,-,adelemyers,,2023-07-07T18:04:44.000Z,575,synthetic,ellipsoid,False,True,,warm_start,False,5,0.0,True,sphere,"[2,2,3]",3.0,4.0,0.001,,,0.07083378302034703,432.0982360839844,0.010431084137940194,430653804840000.1,0.07083378302034703,260.5246000289917,0.010431084137940194,1620000.0000000002,0.6666666666666666,5120.0,1620.0000000000002
run_ijkw50rh,finished,-,adelemyers,,2023-07-07T17:56:38.000Z,423,synthetic,ellipsoid,False,True,,warm_start,False,5,0.0,True,sphere,"[10,10,2]",3.0,3.0,0.001,,,0.07083378302034703,262.0579674243927,0.010431084137940194,30046755600.00001,0.07083378302034703,112.8525493144989,0.010431084137940194,54000.00000000001,5.0,1280.0,54.00000000000001
run_ctkcg2xc,finished,-,adelemyers,,2023-07-07T17:48:49.000Z,467,synthetic,ellipsoid,False,True,,warm_start,False,5,0.0,True,sphere,"[2,2,10]",3.0,3.0,0.001,,,0.07083378302034703,314.1777415275574,0.010431084137940194,30046755600.00001,0.07083378302034703,174.8339297771454,0.010431084137940194,54000.00000000001,0.2,1280.0,54.00000000000001
run_nwkqq7oh,finished,-,adelemyers,,2023-07-07T17:39:57.000Z,530,synthetic,ellipsoid,False,True,,warm_start,False,5,0.0,True,sphere,"[2,2,3]",3.0,3.0,0.001,,,0.07083378302034703,347.13245129585266,0.010431084137940194,30046755600.00001,0.07083378302034703,174.72143125534058,0.010431084137940194,54000.00000000001,0.6666666666666666,1280.0,54.00000000000001
run_wxl5wxwq,finished,-,adelemyers,,2023-07-07T17:34:14.000Z,315,synthetic,ellipsoid,False,True,,warm_start,False,5,0.0,True,sphere,"[10,10,2]",3.0,2.0,0.001,,,0.07083378302034703,239.85861444473267,0.010431084137940194,2125764.0,0.07083378302034703,176.2245590686798,0.010431084137940194,1800.0000000000002,5.0,320.0,1.8000000000000005
run_pqdho37i,finished,-,adelemyers,,2023-07-07T17:32:00.000Z,133,synthetic,ellipsoid,False,True,,warm_start,False,5,0.0,True,sphere,"[2,2,10]",3.0,2.0,0.001,,,0.07083378302034703,81.44492840766907,0.010431084137940194,2125764.0,0.07083378302034703,43.17907738685608,0.010431084137940194,1800.0000000000002,0.2,320.0,1.8000000000000005
run_640q2l4p,finished,-,adelemyers,,2023-07-07T17:29:46.000Z,132,synthetic,ellipsoid,False,True,,warm_start,False,5,0.0,True,sphere,"[2,2,3]",3.0,2.0,0.001,,,0.07083378302034703,79.39423751831055,0.010431084137940194,2125764.0,0.07083378302034703,39.87753915786743,0.010431084137940194,1800.0000000000002,0.6666666666666666,320.0,1.8000000000000005
run_imzzaxdo,finished,-,adelemyers,,2023-07-07T17:28:51.000Z,30,synthetic,ellipsoid,False,True,,warm_start,False,5,0.0,True,sphere,"[10,10,2]",3.0,1.0,0.001,,,0.07083378302034703,10.08539080619812,0.010431084137940194,158.76000000000005,0.07083378302034703,0.070225715637207,0.010431084137940194,60.00000000000001,5.0,80.0,0.06
run_e46cukz3,finished,-,adelemyers,,2023-07-07T17:28:11.000Z,38,synthetic,ellipsoid,False,True,,warm_start,False,5,0.0,True,sphere,"[2,2,10]",3.0,1.0,0.001,,,0.07083378302034703,12.587037324905396,0.010431084137940194,158.76000000000005,0.07083378302034703,0.0711421966552734,0.010431084137940194,60.00000000000001,0.2,80.0,0.06
run_pls4owbe,finished,-,adelemyers,,2023-07-07T17:27:37.000Z,32,synthetic,ellipsoid,False,True,,warm_start,False,5,0.0,True,sphere,"[2,2,3]",3.0,1.0,0.001,,,0.07083378302034703,10.164772510528564,0.010431084137940194,158.76000000000005,0.07083378302034703,0.098276138305664,0.010431084137940194,60.00000000000001,0.6666666666666666,80.0,0.06
