,estimator_coef_hat,estimator_coef_err_norm,estimator_intercept_err,X,rmsd_linear,linear_coef_hat,estimator_coef_err_sum,estimator_intercept_err_sum,estimator,lr_coef_err,linear_noise,estimator_intercept_hat,estimator_intercept_err_norm,_step,true_coef,lr_duration_time,lr_intercept_err_norm,synthetic_tan_vec_length,_runtime,_timestamp,rmsd_geodesic,estimator_coef_err,geodesic_tol,true_intercept,lr_intercept_err,linear_intercept_hat,lr_intercept_err_sum,estimator_duration_time,model,noise_factor,lr_coef_err_sum,_wandb,lr_coef_err_norm,line vs geodesic,n_gr_function_evaluations,n_gr_jacobian_evaluations,n_gr_iterations,estimator_y_prediction_fig,n_vertices,estimator_coef_hat_fig,true_intercept_fig,mesh_sequence_vertices,estimator_intercept_hat_fig,n_faces,mesh_diameter,true_coef_fig,n_X,model,full_run,use_cuda,device_id,estimator,tol_factor,project_dir,torch_dtype,dataset_name,linear_noise,noise_factor,space_dimension,project_linear_noise,synthetic_tan_vec_length,n_steps,end_shape,start_shape,n_subdivisions,0
0,"[-0.5060339188173368, -0.34627495095676525, 0.9232231082848632, -0.3907868655529971, -0.5749987741493906, -0.2020451288988533, 0.7571022712990314, 1.157033828557283, 0.9891100947969002, 0.29768895587394556, 0.6016366115364844]",1.4518878921866396,"[0.15159232882622026, 0.23484971467412605, -0.010469891690236792, 0.36590379174247056, 0.18613452263649352, 0.4163369673232872, 0.013783989590710838, 0.0069921686988118625, 0.011984914823630954, 0.003113591840368496, 0.23076633654875936]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",1.8544644601826203,"[-0.5060339188173368, -0.34627495095676525, 0.9232231082848632, -0.3907868655529971, -0.5749987741493906, -0.2020451288988533, 0.7571022712990314, 1.157033828557283, 0.9891100947969002, 0.29768895587394556, 0.6016366115364844]",-1.137790683549851,1.6109884350146422,LR,"[0.8930092020580189, -0.008962905038966074, -0.0400656371489565, -0.011546048563439716, -0.6212232821261198, 0.14418997249300636, 0.492408931659684, -0.15233268110212483, -0.22346152928885343, 0.2365819338785255, -0.5402854042716478]",True,"[0.47833955565323566, 0.18827508734100729, 0.33296267931223816, 0.1667504257194558, 0.2076469482596, 0.011380342905866758, 0.10635164598538134, 0.2350824846773105, 0.38870652815770185, 0.1963855590100398, 0.016287805596724058]",0.6883005742230845,5,"[-1.3990431208753558, -0.3373120459177992, 0.9632887454338196, -0.37924081698955736, 0.04622450797672917, -0.34623510139185965, 0.2646933396393474, 1.3093665096594078, 1.2125716240857536, 0.06110702199542006, 1.1419220158081322]",0.002179861068725586,0.56517243891434,5.0,6.267937898635864,1710217050.6061568,1.0508857886834049,"[-1.0635996591726815, -0.0861059468840018, -0.06019008522244851, -0.09782388187551172, 0.5279896527782678, -0.2140379762034052, -0.5271618631304199, 0.0792560222290577, 0.10256251193865572, -0.2971946644429096, 0.498515206435546]",0.01,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]","[0.011843688450591638, -0.15211357271314116, 0.11204666334893865, -0.27603464744601586, -0.10254340806414344, -0.3690805405312979, 0.02046041897731618, 0.06623577690147217, 0.10914125077495296, 0.05777369737920987, -0.20149560004649467]","[0.47833955565323566, 0.18827508734100729, 0.33296267931223816, 0.1667504257194558, 0.2076469482596, 0.011380342905866758, 0.10635164598538134, 0.2350824846773105, 0.38870652815770185, 0.1963855590100398, 0.016287805596724058]",-0.7237662729686116,0.002179861068725586,2,0.6,0.16831255254912658,{'runtime': 4},1.3672891559053952,,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,10.0,False,5.0,,,,,run_xm0ohdjk
1,"[-0.24561181242968988, -0.15980573689826164, 2.093142223654759, 0.2774140224023227, 0.36147685399402846, -0.5579626032426445]",1.4486706371324438,"[0.29477403604249336, 0.19549381204121977, 0.1486548961096678, 0.3664296967523092, 0.09714368110479472, 0.2481411920637596]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",1.469493492402328,"[-0.24561181242968988, -0.15980573689826164, 2.093142223654759, 0.2774140224023227, 0.36147685399402846, -0.5579626032426445]",0.19577883367530505,1.3506373141142445,LR,"[0.8690366062286928, -0.5711201512138177, -0.13441903145206613, 0.6769604357842607, -0.7505734285040382, 0.1784230204743863]",True,"[0.3620955930379854, 0.28949933730033, 0.15978246500210677, 0.23187542492249016, 0.36836314519655367, 0.2853362698024457]",0.5937082698160504,5,"[-1.1146484186583827, 0.411314414315556, 2.227561255106825, -0.399546413381938, 1.1120502824980667, -0.7363856237170308]",0.0020143985748291016,0.3509633085923351,5.0,6.581427335739136,1710217037.5264823,0.9822913680048228,"[-0.7693528653601606, 0.6468031948601869, 0.1802632184143711, -0.5953723702816817, 0.8317241643949365, -0.0982865083523472]",0.01,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]","[-0.1532785715977109, -0.08655441507013989, -0.08428059147138972, -0.2573035865963437, 0.025671801054476084, -0.13498837563071842]","[0.3620955930379854, 0.28949933730033, 0.15978246500210677, 0.23187542492249016, 0.36836314519655367, 0.2853362698024457]",-0.6907337393118266,0.0020143985748291016,2,0.6,0.26830745131741784,{'runtime': 5},1.4672907017810803,,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,5.0,False,5.0,,,,,run_e3ez327q
2,"[-0.2730629313285072, 1.1817804161950818, -0.8676579156641906, -0.6019883927309484]",0.7762594742420317,"[0.2248061619955214, 0.13192402881776438, 0.1305866935499455, 0.18017143099672128]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",1.2327399080398926,"[-0.2730629313285072, 1.1817804161950818, -0.8676579156641906, -0.6019883927309484]",0.414476329425417,0.6674883153599526,LR,"[-0.4004419707948777, -0.3757464130441468, -0.34828173276371754, 0.470422981426599]",True,"[0.487263990089825, 0.3921724926283554, 0.2032290279072297, 0.5003798707242062]",0.34271911083331874,5,"[0.12737903946637052, 1.5575268292392286, -0.519376182900473, -1.0724113741575474]",0.001992940902709961,0.1824841746077644,5.0,6.2215893268585205,1710217023.900679,0.952976469146248,"[0.32548243578545316, 0.3185033267479138, 0.31469743226672264, -0.5442068653746726]",0.01,"[0.6134147007763507, 0.4475911208106732, 0.29049160208307806, 0.5822363974899817]","[-0.12615071068652567, -0.0554186281823178, -0.08726257417584837, -0.08185652676577548]","[0.487263990089825, 0.3921724926283554, 0.2032290279072297, 0.5003798707242062]",-0.3506884398104673,0.001992940902709961,2,0.6,-0.654047135176143,{'runtime': 4},0.8025815134432241,,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,3.0,False,5.0,,,,,run_qg1cil89
3,"[-0.2352184632180887, 0.21017199566551908, 1.5157363424855006]",0.8507200331527047,"[-0.07027626718835756, -0.11097197274199289, -0.14357228192946286]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",1.0676645363449466,"[-0.2352184632180887, 0.21017199566551908, 1.5157363424855006]",-1.3812912110995756,-0.3248205218598133,LR,"[0.07245832331610225, 0.532221450178372, 0.36981701861336846]",True,"[0.8247657576240593, 0.6615013230112081, 0.500871936721111]",0.1945932491188022,6,"[-0.30767678653419095, -0.32204945451285294, 1.145919323872132]",0.001960277557373047,0.1945932491188022,5.0,6.382571220397949,1710217010.8748393,0.7844189816202435,"[-0.24851813767264183, -0.6673218925470648, -0.46545118087986914]",0.01,"[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]","[0.07027626718835756, 0.11097197274199289, 0.14357228192946286]","[0.8247657576240593, 0.6615013230112081, 0.500871936721111]",0.3248205218598133,0.001960277557373047,2,0.6,0.9744967921078428,{'runtime': 5},0.6521307444859739,"{'format': 'png', 'height': 800, 'sha256': 'f3351b9e966c46a80248b00fb13638e82b864f1d6c05f7969cdc8403b8be0551', 'path': 'media/images/line vs geodesic_6_f3351b9e966c46a80248.png', 'size': 112487, '_type': 'image-file', 'width': 800}",,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,2.0,False,5.0,,,,,run_km4comur
4,"[-1.177667319708397, -0.21016421673276572, 1.1899553305377786, -0.5758124796756311, 0.058306399535322545, 0.11754190359158002, 0.12506811388724062, 0.9125214082104864, 0.7885620567906317, 0.22074226178663467, 0.8300143705460492]",0.9207604629079812,"[0.1447576290070755, 0.11133064616510968, 0.07181830648168191, 0.2072753153413388, 0.12154786212834544, 0.12398733086128529, 0.0764320280538534, 0.0501526075528026, 0.1191903292617504, 0.07136693757122703, 0.07343489066168288]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",1.3304454913107435,"[-1.177667319708397, -0.21016421673276572, 1.1899553305377786, -0.5758124796756311, 0.058306399535322545, 0.11754190359158002, 0.12506811388724062, 0.9125214082104864, 0.7885620567906317, 0.22074226178663467, 0.8300143705460492]",0.31690353587340286,1.1712938830861528,LR,"[0.22137580116695843, 0.12714782918503345, 0.22666658510395896, -0.19657166268607373, 0.012081891558593376, 0.46377700498343966, -0.13962522575210676, -0.3968451014489215, -0.42400956729512185, 0.1596352397912146, -0.31190764526208303]",True,"[0.4101071896066221, 0.29263758280995283, 0.1904304717195301, 0.30835532359096474, 0.2434090313558056, 0.32760901915252216, 0.017870616574722456, 0.15103292077673486, 0.20821198366685684, 0.08902579206433234, 0.1846791687421317]",0.3803502950178953,5,"[-1.3990431208753558, -0.3373120459177992, 0.9632887454338196, -0.37924081698955736, 0.04622450797672917, -0.34623510139185965, 0.2646933396393474, 1.3093665096594078, 1.2125716240857536, 0.06110702199542006, 1.1419220158081322]",0.002069711685180664,0.2128467406639939,5.0,6.26745343208313,1710216994.552241,0.8875504317025114,"[-0.21197999964468184, -0.1203642607533785, -0.222258443707804, 0.20460464927116073, -0.0061547144958242345, -0.4561891442749838, 0.14072452787175616, 0.4002742855481495, 0.4292293888443337, -0.15720264909787107, 0.3162198963125462]",0.01,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]","[-0.0563886775960219, -0.04775107724419558, -0.030485544243769425, -0.13442974957450693, -0.06678132496793782, -0.0528518642846425, -0.0680206104333427, -0.017813786999103465, -0.07135329371589205, -0.04958606956649758, -0.03310423690108702]","[0.4101071896066221, 0.29263758280995283, 0.1904304717195301, 0.30835532359096474, 0.2434090313558056, 0.32760901915252216, 0.017870616574722456, 0.15103292077673486, 0.20821198366685684, 0.08902579206433234, 0.1846791687421317]",-0.628566235526997,0.002069711685180664,2,0.4,-0.25827485065510836,{'runtime': 4},0.9219339444677932,,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,10.0,False,5.0,,,,,run_nc1i0dpo
5,"[-0.8349083099785962, -0.43889565741075226, 1.5218347624753283, 0.1519844841279014, 0.8879741983997421, -0.5263501027378287]",1.3019227951146954,"[0.31150798918070055, 0.11217220685983532, 0.14499530220205864, 0.13914203803654757, 0.15791290599480695, 0.18751568700485316]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.951353729268582,"[-0.8349083099785962, -0.43889565741075226, 1.5218347624753283, 0.1519844841279014, 0.8879741983997421, -0.5263501027378287]",0.6792126948312918,1.0532461292788022,LR,"[0.2797401086797865, -0.8502100717263084, -0.7057264926314968, 0.5515308975098394, -0.22407608409832455, 0.21003552097920208]",True,"[0.2956007906078506, 0.3533916228277513, 0.14300492659258748, 0.46780190975774455, 0.2554272909710051, 0.3206725760585719]",0.45836949557913026,5,"[-1.1146484186583827, 0.411314414315556, 2.227561255106825, -0.399546413381938, 1.1120502824980667, -0.7363856237170308]",0.002275705337524414,0.27754131953315936,5.0,6.237921476364136,1710216981.3197885,0.7499149272450817,"[-0.291130936321212, 0.839914320779194, 0.7002886983608774, -0.5650405873275575, 0.21565359436037937, -0.2204723950203895]",0.01,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]","[-0.2197733740278457, -0.022662129542718623, -0.101058129880909, -0.021377101761089312, -0.0872640531710725, -0.0996520693745922]","[0.2956007906078506, 0.3533916228277513, 0.14300492659258748, 0.46780190975774455, 0.2554272909710051, 0.3206725760585719]",-0.5517868577582273,0.002275705337524414,2,0.4,-0.7387061212873016,{'runtime': 4},1.3029477807329195,,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,5.0,False,5.0,,,,,run_co3zs5t1
6,"[-0.020816959401013243, 1.3507842009755926, -0.5644937165674456, -0.9667085326497212]",0.3158688980405166,"[0.16965919127940626, 0.14142972181042052, 0.0996276276292798, 0.0631590245788114]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.7585230860043213,"[-0.020816959401013243, 1.3507842009755926, -0.5644937165674456, -0.9667085326497212]",0.42752713686423593,0.473875565297918,LR,"[-0.14819599886738377, -0.206742628263636, -0.045117533666972576, 0.10570284150782616]",True,"[0.5113712972624848, 0.3539178186413037, 0.2211557421763659, 0.5920309107667788]",0.25040234417780605,5,"[0.12737903946637052, 1.5575268292392286, -0.519376182900473, -1.0724113741575474]",0.001386404037475586,0.1552125565131257,5.0,6.266034364700317,1710216964.2280345,0.6182829900028455,"[0.18965237361596568, 0.23627289983815647, 0.0639633087583178, -0.06236144534820398]",0.01,"[0.6134147007763507, 0.4475911208106732, 0.29049160208307806, 0.5822363974899817]","[-0.10204340351386598, -0.09367330216936948, -0.06933585990671212, 0.009794513276797144]","[0.5113712972624848, 0.3539178186413037, 0.2211557421763659, 0.5920309107667788]",-0.25525805231315046,0.001386404037475586,2,0.4,-0.29435331929016617,{'runtime': 5},0.27912945199078615,,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,3.0,False,5.0,,,,,run_3j3cmn2k
7,"[-0.13678576437029086, -0.259762115886776, 1.16920639734372]",0.14509122868528196,"[0.1633797127138512, 0.06032605213504594, 0.06880971423809412]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.679239119693008,"[-0.13678576437029086, -0.259762115886776, 1.16920639734372]",-0.1862174889815031,0.29251547908699127,LR,"[0.1708910221639001, 0.06228733862607694, 0.023287073471587982]",True,"[0.6565301999179572, 0.5419024748798053, 0.32004700907757644]",0.18726168819646213,6,"[-0.30767678653419095, -0.32204945451285294, 1.145919323872132]",0.0023620128631591797,0.10515800107658202,5.0,6.437955856323242,1710216951.239472,0.5872540793058079,"[-0.1397378156170399, -0.038150026318003405, -0.008329647046459776]",0.01,"[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]","[-0.09795929051774456, -0.008626875389409983, -0.037252645714071664]","[0.6565301999179572, 0.5419024748798053, 0.32004700907757644]",-0.1438388116212262,0.0023620128631591797,2,0.4,0.256465434261565,{'runtime': 5},0.1833732308713933,"{'_type': 'image-file', 'width': 800, 'format': 'png', 'height': 800, 'sha256': 'e4a2200968338aeacb4c21aa0d1b429392ff67deedebcc4580db79b42707e44f', 'path': 'media/images/line vs geodesic_6_e4a2200968338aeacb4c.png', 'size': 112316}",,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.4,2.0,False,5.0,,,,,run_6zgf1koa
8,"[-0.7778293721570405, -0.4668391025866582, 1.263366545199288, 0.08255298279480014, 0.15097648528524174, -0.597169588638366, -0.17305220539744198, 1.2037413680609064, -0.19588985127619343, 0.5805566603268584, 1.549505214011865]",1.8782842409424116,"[0.37605619388004463, 0.18531769601550005, 0.1697308194558268, 0.2967155967768704, 0.26755409682353376, 0.32538146158427683, -0.10731098954664478, 0.11229289493690718, 0.20469730284911056, 0.1542929282261914, 0.3117465006663018]","[-0.5, -0.4473684210526316, -0.3947368421052632, -0.34210526315789475, -0.2894736842105263, -0.2368421052631579, -0.1842105263157895, -0.13157894736842107, -0.07894736842105265, -0.026315789473684237, 0.026315789473684292, 0.07894736842105265, 0.13157894736842102, 0.1842105263157895, 0.23684210526315796, 0.2894736842105263, 0.3421052631578947, 0.3947368421052632, 0.4473684210526317, 0.5]",2.0244067608347187,"[-0.7778293721570405, -0.4668391025866582, 1.263366545199288, 0.08255298279480014, 0.15097648528524174, -0.597169588638366, -0.17305220539744198, 1.2037413680609064, -0.19588985127619343, 0.5805566603268584, 1.549505214011865]",0.9960037524162206,2.2964745016679187,LR,"[0.6212137487183153, -0.129527056668859, 0.30007779976546833, 0.46179379978435753, 0.10475197730851256, -0.25093448724650635, -0.43774554503678936, -0.10562514159850143, -1.408461475361947, 0.5194496383314383, 0.4075831982037328]",True,"[0.24752280744568927, 0.31149826608985987, 0.1294960728176207, 0.32343494281829643, 0.1388730819929537, 0.17442452546969694, 0.30498569454861013, 0.12458886561008337, 0.17870647009244417, 0.011021715570130496, -0.0845452136018832]",0.8106086682415911,5,"[-1.3990431208753558, -0.3373120459177992, 0.9632887454338196, -0.37924081698955736, 0.04622450797672917, -0.34623510139185965, 0.2646933396393474, 1.3093665096594078, 1.2125716240857536, 0.06110702199542006, 1.1419220158081322]",0.002302408218383789,0.5576755197823535,5.0,6.371778964996338,1710216937.9020889,1.1364593897648758,"[-0.4646030367138322, 0.2731678047259011, -0.22315775676069827, -0.2932886467065717, -0.006384986629843936, 0.37250343574162215, 0.5247830877320872, 0.17016231871120535, 1.5091300556435847, -0.4869437058269511, -0.3793648175002826]",0.01,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]","[-0.21897305975695475, -0.028890393964288552, -0.0914199431456788, -0.11935013034717525, -0.17131727433078972, -0.20603635796746772, 0.21909446754054496, -0.04425784216575497, -0.10085880729030472, -0.12759014606069943, -0.3023286192451019]","[0.24752280744568927, 0.31149826608985987, 0.1294960728176207, 0.32343494281829643, 0.1388730819929537, 0.17442452546969694, 0.30498569454861013, 0.12458886561008337, 0.17870647009244417, 0.011021715570130496, -0.0845452136018832]",-1.191928106733671,0.002302408218383789,2,0.6,0.08257645619922155,{'runtime': 5},1.8445646162749865,,,,,,,,,,,,,,20,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,10.0,False,5.0,,,,,run_ws66qu2o
9,"[-1.373720656559439, 0.3387999520324695, 1.202753880429846, -0.28619907475764284, 1.0894493479664382, -0.6612878633088312]",0.9500214652745698,"[0.16438691276302592, 0.3953583187651824, -0.14724339554787036, 0.3679993203021532, 0.2759108736676672, 0.32040987179135627]","[-0.5, -0.4473684210526316, -0.3947368421052632, -0.34210526315789475, -0.2894736842105263, -0.2368421052631579, -0.1842105263157895, -0.13157894736842107, -0.07894736842105265, -0.026315789473684237, 0.026315789473684292, 0.07894736842105265, 0.13157894736842102, 0.1842105263157895, 0.23684210526315796, 0.2894736842105263, 0.3421052631578947, 0.3947368421052632, 0.4473684210526317, 0.5]",1.3814167617515714,"[-1.373720656559439, 0.3387999520324695, 1.202753880429846, -0.28619907475764284, 1.0894493479664382, -0.6612878633088312]",0.5542266280156968,1.3768219017415146,LR,"[-0.2590722379010566, -0.07251446228308656, -1.024807374676979, 0.11334733862429514, -0.02260093453162848, 0.0750977604081996]",True,"[0.5441708292787136, 0.03553359564032326, 0.5531787980526148, 0.2382606246208044, 0.14313730968576027, 0.1992000326834224]",0.720572460429423,5,"[-1.1146484186583827, 0.411314414315556, 2.227561255106825, -0.399546413381938, 1.1120502824980667, -0.7363856237170308]",0.0020515918731689453,0.6033354876361242,5.0,6.238171577453613,1710216924.6041446,0.9007045895343816,"[0.09429379732241494, 0.009168821654263803, 0.90027942749183, -0.22596660666401025, -0.05255276094901462, -0.17099605083978708]",0.01,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]","[0.028796664643017333, -0.34052015673014663, 0.30911574157911836, -0.2509183868980295, -0.1995540344563173, -0.2211246127497417]","[0.5441708292787136, 0.03553359564032326, 0.5531787980526148, 0.2382606246208044, 0.14313730968576027, 0.1992000326834224]",-0.6742047846120994,0.0020515918731689453,2,0.6,-1.190549910360256,{'runtime': 4},1.0684591812122866,,,,,,,,,,,,,,20,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.6,5.0,False,5.0,,,,,run_zj2x6mp4
