,X,model,n_gr_iterations,n_gr_function_evaluations,lr_coef_err,linear_coef_hat,lr_duration_time,lr_intercept_err,_wandb,lr_coef_err_sum,linear_intercept_hat,estimator_duration_time,estimator_intercept_err_sum,_runtime,geodesic_tol,rmsd_geodesic,estimator_intercept_err_norm,estimator,noise_factor,lr_coef_err_norm,estimator_coef_err_norm,n_gr_jacobian_evaluations,rmsd_linear,linear_noise,true_intercept,estimator_coef_err,lr_intercept_err_sum,lr_intercept_err_norm,true_coef,_timestamp,line vs geodesic,estimator_intercept_err,estimator_intercept_hat,_step,estimator_coef_hat,estimator_coef_err_sum,synthetic_tan_vec_length,n_X,model,full_run,use_cuda,device_id,estimator,tol_factor,project_dir,torch_dtype,dataset_name,linear_noise,noise_factor,space_dimension,project_linear_noise,synthetic_tan_vec_length,0
0,"[-0.5, -0.25, 0, 0.25, 0.5]",3,0.0,7.0,"[0.016175937538730922, 0.016931572639144576, -0.060246077112873664]","[-0.29150084899546, -0.30511788187370836, 1.0856732467592585]",0.0011801719665527344,"[-0.06939125514815692, -0.05063280946301768, -0.032861254960195596]",{'runtime': 5},-0.027138566934998165,"[0.6850982352875449, 0.4998965408061975, 0.3244383998314525]",0.02266716957092285,0.0,6.3554770946502686,0.01,0.022852595352551033,0.0,GLS,0.0,0.06463690056602245,0.06463690056602246,1.0,0.022851750000044236,True,"[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]","[-0.016175937538730978, -0.016931572639144576, 0.060246077112873664]",-0.1528853195713702,0.091971135486705,"[-0.30767678653419095, -0.32204945451285294, 1.145919323872132]",1709942398.201801,"{'sha256': 'cfcb5477a419e21b071c746b47e3a08ccc4944354eb2b523ea98aed5b41ee232', 'path': 'media/images/line vs geodesic_7_cfcb5477a419e21b071c.png', 'size': 109169, '_type': 'image-file', 'width': 800, 'format': 'png', 'height': 800}","[0, 0, 0]","[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]",7,"[-0.29150084899545997, -0.30511788187370836, 1.0856732467592585]",0.02713856693499811,5.0,5,3,True,False,-1,GLS,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.0,2,True,5.0,run_y2o1fazf
1,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",3,,,"[-16.171831327686704, -5.962265240251151, -4.37659201578726, -7.563766724167328, -5.538605855539084, -6.651982909084838, -1.7588116756058534, -3.676241878560762, -5.62735284323073, -2.4971415064941405, -4.409645339310181]","[-0.19459369939987145, 0.3676523199566245, 0.9138026968768268, 0.7298717154249537, 0.583350807813539, 0.45391058164924025, 0.18824244398288295, 0.9403434109511296, 1.0610941931395048, 0.2789710843655232, 0.9980238655974354]",0.0022399425506591797,"[-0.6266742422177809, -0.45199342040012647, -0.4499448956523307, -0.6682513171410597, -0.5220482432880761, -0.4979980665227423, -0.10344550864703818, -0.3923388923013117, -0.5583138266261214, -0.2083308030957144, -0.45361744722208475]",{'runtime': 5},-64.23423731571803,"[1.516965742124504, 0.2776771578167555, 0.02361940311034823, 0.28092025723235803, 0.1428880581152705, 0.3175729127288574, 0.08067431856683722, -0.03039241948634169, 0.04097334576317896, 0.08880305914222503, 0.013231664309568613]",0.0022399425506591797,2.5611169905726348,6.634175062179565,0.01,0.6587981731090858,1.035452645470487,LR,0.6,22.854383650984836,18.926481347685943,,0.9854676320540928,True,"[2.143639984342285, 0.729670578216882, 0.47356429876267897, 0.9491715743734176, 0.6649363014033466, 0.8155709792515997, 0.1841198272138754, 0.36194647281496994, 0.5992871723893004, 0.2971338622379394, 0.46684911153165337]","[12.786105255850863, 5.022095650079163, 3.9056949192310184, 6.4121852935931685, 4.779821483197129, 5.594722401884744, 1.512141484091831, 3.359422851408047, 5.021582900886571, 2.13587723753298, 3.95436701615285]",-4.932956663114387,1.5786326213293873,"[15.977237628286831, 6.329917560207775, 5.290394712664087, 8.293638439592282, 6.121956663352623, 7.105893490734078, 1.9470541195887363, 4.6165852895118915, 6.688447036370235, 2.776112590859664, 5.4076692049076165]",1709942384.2158442,,"[-0.3134136180766869, 0.220749743247782, 0.3580942127904965, 0.3972990112542907, 0.3522798671676549, 0.23685166717184647, 0.0411509165149236, 0.3401509766680434, 0.4379571475410037, 0.12318979205631778, 0.3668072742369625]","[1.516965742124504, 0.2776771578167555, 0.02361940311034823, 0.28092025723235803, 0.1428880581152705, 0.3175729127288574, 0.08067431856683722, -0.03039241948634169, 0.04097334576317896, 0.08880305914222503, 0.013231664309568613]",5,"[-0.19459369939987145, 0.3676523199566245, 0.9138026968768268, 0.7298717154249537, 0.583350807813539, 0.45391058164924025, 0.18824244398288295, 0.9403434109511296, 1.0610941931395048, 0.2789710843655232, 0.9980238655974354]",54.48401649390836,5.0,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hyperboloid,True,0.6,10,True,5.0,run_3gfeax7n
2,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",3,,,"[-10.695321318679769, -4.78104368227599, -4.355809695349116, -5.7658407427556, -4.64589607504403, -4.881600308861101]","[0.02313633906505145, 0.8246386598766489, 1.2429539608093856, 0.5915611587970562, 1.1996927400129531, 0.18788847701057804]",0.0020232200622558594,"[-0.5518376590670382, -0.5558315211275442, -0.47570877622961544, -0.5803054953058544, -0.6118498624260356, -0.464303675565132]",{'runtime': 5},-35.125511822965606,"[1.388498724784441, 0.1738390570893378, -0.002144477466936471, 0.3688660790675633, 0.053086438977310975, 0.35126730368646775]",0.0020232200622558594,1.827338609943191,11.465843200683594,0.01,0.5054384185034988,0.8888139512163754,LR,0.6,15.325816333564005,12.35816191046069,,0.6511489221704532,True,"[1.940336383851479, 0.729670578216882, 0.47356429876267897, 0.9491715743734176, 0.6649363014033466, 0.8155709792515997]","[8.093475030620693, 4.071008905460658, 3.9835804495353786, 4.73222611837987, 4.080018086163937, 3.967025259400156]",-3.23983698972122,1.329084251205186,"[10.71845765774482, 5.6056823421526385, 5.598763656158502, 6.357401901552656, 5.845588815056983, 5.069488785871679]",1709942370.749432,,"[-0.10265609194748372, 0.4080907022351633, 0.4122972048639376, 0.347804773792302, 0.506967738865071, 0.25483428213420106]","[1.388498724784441, 0.1738390570893378, -0.002144477466936471, 0.3688660790675633, 0.053086438977310975, 0.35126730368646775]",5,"[0.02313633906505145, 0.8246386598766489, 1.2429539608093856, 0.5915611587970562, 1.1996927400129531, 0.18788847701057804]",28.927333849560693,5.0,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hyperboloid,True,0.6,5,True,5.0,run_ozrw2gyv
3,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",3,,,"[-2.9174095488030996, -2.3370424150064997, -0.7406730351784218, -1.8495546918157029]","[-0.3900212439671696, 1.0902425824348687, -0.04655542757381491, -0.4897434203145439]",0.0023517608642578125,"[-0.18243477436956643, -0.4097776027845861, -0.2162607209461576, -0.2981203996222559]",{'runtime': 4},-7.844679690803724,"[1.4477826882336469, 0.3198929754322959, 0.25730357781652136, 0.6510511747511618]",0.0023517608642578125,0.724442023197612,6.218943357467651,0.01,0.5678842715341149,0.4433513232177328,LR,0.6,4.235858216234912,3.7709071029243706,,1.082399941483527,True,"[1.630217462603213, 0.729670578216882, 0.47356429876267897, 0.9491715743734176]","[2.509145588612758, 2.1975884844099833, 0.643611525411977, 1.637161522750919]",-1.106593497722566,0.580383151666416,"[2.52738830483593, 3.4272849974413684, 0.6941176076046068, 1.359811271501159]",1709942351.9646573,,"[-0.007032168972220143, 0.35257266822107325, 0.17495463151505025, 0.20394689243370856]","[1.4477826882336469, 0.3198929754322959, 0.25730357781652136, 0.6510511747511618]",5,"[-0.3900212439671696, 1.0902425824348687, -0.04655542757381491, -0.4897434203145439]",6.9875071211856365,5.0,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hyperboloid,True,0.6,3,True,5.0,run_7erwxawx
4,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",3,,,"[-1.512282806870736, -1.2756876909007313, -0.972102003387826]","[0.028676618058384368, 0.07504742915106946, 1.259473063889212]",0.002102375030517578,"[0.062152400938265906, -0.19813337973162304, -0.3137120805040903]",{'runtime': 5},-3.7600725011592937,"[1.387551321179997, 0.5315371984852589, 0.1598522182585887]",0.002102375030517578,0.27260158162936055,6.419227600097656,0.01,0.6295076124941171,0.3709029375856869,LR,0.6,2.204395762485289,1.6781186370135257,,0.8800626431265013,True,"[1.3253989202417311, 0.729670578216882, 0.47356429876267897]","[1.004220025709262, 1.0391984478519714, 0.8530479973827239]",-0.4496930592974474,0.3762114120550722,"[1.5409594249291203, 1.3507351200518007, 2.231575067277038]",1709942338.5846117,"{'path': 'media/images/line vs geodesic_6_50466094ba3017e18da3.png', 'size': 30812, '_type': 'image-file', 'width': 800, 'format': 'png', 'height': 800, 'sha256': '50466094ba3017e18da37e84966c39bb66797487f2e53ada9fd7cdd7d5fed8b6'}","[-0.17080144726425517, 0.1506637367995887, 0.29273929209402705]","[1.387551321179997, 0.5315371984852589, 0.1598522182585887]",6,"[0.028676618058384368, 0.07504742915106946, 1.259473063889212]",2.896466470943957,5.0,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hyperboloid,True,0.6,2,True,5.0,run_8qyw24ub
5,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",3,,,"[-16.065726439710765, -5.850011844584099, -4.323371933235291, -7.739958324234928, -5.5797305887767275, -6.640052176076865, -1.643629082115924, -3.68694465360953, -5.490445699994348, -2.5252859268194188, -4.468663601770385]","[-0.08848881142393229, 0.4799057156236763, 0.9670227794287962, 0.5536801153573538, 0.542226074575895, 0.4658413146572136, 0.30342503747281213, 0.9296406359023612, 1.198001336375887, 0.2508266640402451, 0.9390056031372316]",0.004190206527709961,"[-0.6842624595853264, -0.5431642805750196, -0.4949566347801953, -0.606525636010665, -0.4687093201583547, -0.5343989409772253, -0.1928718555039048, -0.3951851936229981, -0.6110337987702669, -0.21393105483343192, -0.4446131866559936]",{'runtime': 5},-64.01382027092829,"[1.4593775247569585, 0.1865062976418623, -0.021392336017516316, 0.3426459383627527, 0.19622698124499183, 0.2811720382743744, -0.00875202829002939, -0.03323872080802812, -0.01174662638096648, 0.0832028074045075, 0.022235924875659775]",0.004190206527709961,2.832273525584835,6.510305881500244,0.01,0.5671738070286567,1.0693603157173197,LR,0.4,22.780221366717512,18.560467828221945,,0.7903760728058328,True,"[2.143639984342285, 0.729670578216882, 0.47356429876267897, 0.9491715743734176, 0.6649363014033466, 0.8155709792515997, 0.1841198272138754, 0.36194647281496994, 0.5992871723893004, 0.2971338622379394, 0.46684911153165337]","[12.417793808804005, 4.913078853451599, 3.8552188544406616, 6.422903705937422, 4.700115516836439, 5.521390887550163, 1.4620402297478132, 3.345724865400696, 4.882951409050473, 2.136624869454252, 3.9645875780299855]",-5.1896523614733825,1.640594159680216,"[15.977237628286831, 6.329917560207775, 5.290394712664087, 8.293638439592282, 6.121956663352623, 7.105893490734078, 1.9470541195887363, 4.6165852895118915, 6.688447036370235, 2.776112590859664, 5.4076692049076165]",1709942325.2012548,,"[-0.2674865235865296, 0.33882651684020665, 0.4172604084001614, 0.30214701448340525, 0.2723717184501698, 0.27797007868126583, 0.16283152881946303, 0.3423136726278374, 0.5068015570471701, 0.12792419419546447, 0.35131335962622073]","[1.4593775247569585, 0.1865062976418623, -0.021392336017516316, 0.3426459383627527, 0.19622698124499183, 0.2811720382743744, -0.00875202829002939, -0.03323872080802812, -0.01174662638096648, 0.0832028074045075, 0.022235924875659775]",5,"[-0.08848881142393229, 0.4799057156236763, 0.9670227794287962, 0.5536801153573538, 0.542226074575895, 0.4658413146572136, 0.30342503747281213, 0.9296406359023612, 1.198001336375887, 0.2508266640402451, 0.9390056031372316]",53.62243057870351,5.0,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hyperboloid,True,0.4,10,True,5.0,run_4mqlhqty
6,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",3,,,"[-10.680733354986266, -4.858272303940922, -4.105595507140372, -5.7673301675945154, -4.638036156066156, -4.725647029389068]","[0.03772430275855234, 0.7474100382117165, 1.4931681490181297, 0.5900717339581407, 1.207552658990827, 0.3438417564826099]",0.001100301742553711,"[-0.5455517827061718, -0.5090286209252014, -0.5145561881126701, -0.6110199679529619, -0.5849945829281902, -0.4583422446380042]",{'runtime': 5},-34.7756145191173,"[1.3947846011453071, 0.2206419572916806, -0.04099188934999115, 0.33815160642045583, 0.07994171847515645, 0.3572287346135955]",0.001100301742553711,1.8135632283379024,6.639329671859741,0.01,0.46534749479978593,0.8850323084311833,LR,0.4,15.219789937486103,12.020097652962354,,0.6131857845008339,True,"[1.940336383851479, 0.729670578216882, 0.47356429876267897, 0.9491715743734176, 0.6649363014033466, 0.8155709792515997]","[7.88025403395053, 4.056600177285621, 3.737722072579638, 4.682181879412349, 4.007719180983836, 3.738065338036722]",-3.2234933872631997,1.3217967437440243,"[10.71845765774482, 5.6056823421526385, 5.598763656158502, 6.357401901552656, 5.845588815056983, 5.069488785871679]",1709942311.7373877,,"[-0.10737004969634212, 0.34888085821499354, 0.46237488818817274, 0.3883274577632019, 0.47309009364777826, 0.24825998022009824]","[1.3947846011453071, 0.2206419572916806, -0.04099188934999115, 0.33815160642045583, 0.07994171847515645, 0.3572287346135955]",5,"[0.03772430275855234, 0.7474100382117165, 1.4931681490181297, 0.5900717339581407, 1.207552658990827, 0.3438417564826099]",28.102542682248696,5.0,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hyperboloid,True,0.4,5,True,5.0,run_of4agfur
7,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",3,,,"[-2.4668924073130203, -2.091458406034649, -0.8424986174784791, -1.3286028693299885]","[0.06049589752290966, 1.3358265914067196, -0.14838100987387226, 0.03120840217117078]",0.0020987987518310547,"[-0.2637182978078161, -0.4586092783391893, -0.10317976609976807, -0.3489146332704749]",{'runtime': 5},-6.729452300156137,"[1.3664991647953972, 0.27106129987769273, 0.3703845326629109, 0.6002569411029428]",0.0020987987518310547,0.8053710992602956,6.3063740730285645,0.01,0.38722896941031104,0.4932633175411701,LR,0.4,3.5964907782832767,2.720263653254082,,0.5314377428676589,True,"[1.630217462603213, 0.729670578216882, 0.47356429876267897, 0.9491715743734176]","[1.6798550232317295, 1.8284439166338269, 0.6208348561602735, 0.9215630034021411]",-1.1744219755172485,0.642072656496223,"[2.52738830483593, 3.4272849974413684, 0.6941176076046068, 1.359811271501159]",1709942296.866102,,"[0.08467819071157523, 0.40655274178957373, 0.053360994078819945, 0.2607791726803267]","[1.3664991647953972, 0.27106129987769273, 0.3703845326629109, 0.6002569411029428]",5,"[0.06049589752290966, 1.3358265914067196, -0.14838100987387226, 0.03120840217117078]",5.050696799427971,5.0,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hyperboloid,True,0.4,3,True,5.0,run_e78g6tny
8,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",3,,,"[-1.3550371928764111, -1.11000945448105, -0.8605634403442575]","[0.1859222320527093, 0.2407256655707509, 1.3710116269327806]",0.0014033317565917969,"[0.032949780075667956, -0.13368591939953312, -0.19606566795514752]",{'runtime': 5},-3.3256100877017185,"[1.358348700317399, 0.5959846588173489, 0.27749863080753145]",0.0014033317565917969,0.2088865486698112,6.348084211349487,0.01,0.4747828553150569,0.22924757625333209,LR,0.4,1.951618871084425,1.5306315202018883,,0.75038349171957,True,"[1.3253989202417311, 0.729670578216882, 0.47356429876267897]","[0.9667587142720973, 0.9181481018696622, 0.7518074900183171]",-0.2968018072790127,0.2395816336938863,"[1.5409594249291203, 1.3507351200518007, 2.231575067277038]",1709942283.340727,"{'path': 'media/images/line vs geodesic_6_670db3bd7480b88bc1e5.png', 'size': 30951, '_type': 'image-file', 'width': 800, 'format': 'png', 'height': 800, 'sha256': '670db3bd7480b88bc1e5f00556a61a3850466742e6ac26a97243e76b1b759b23'}","[-0.08377818330143771, 0.10952649314692842, 0.1831382388243205]","[1.358348700317399, 0.5959846588173489, 0.27749863080753145]",6,"[0.1859222320527093, 0.2407256655707509, 1.3710116269327806]",2.6367143061600764,5.0,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hyperboloid,True,0.4,2,True,5.0,run_e67r4peh
9,"[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",3,,,"[-15.885637685394668, -5.884959528864457, -4.443471358132097, -7.658822069677176, -5.485911522970369, -6.565790378756557, -1.6314497033307362, -3.7237416560897, -5.649753290692276, -2.416187617348582, -4.428700788363651]","[0.09159994289216504, 0.44495803134331824, 0.8469233545319902, 0.6348163699151067, 0.6360451403822539, 0.5401031119775217, 0.3156044162580001, 0.8928436334221913, 1.0386937456779584, 0.35992497351108205, 0.978968416543966]",0.0025937557220458984,"[-0.7812697938535589, -0.47154432280107567, -0.44094309141311255, -0.670841822824436, -0.5044636475191764, -0.5637134097781847, -0.15716916905364264, -0.36632806875154583, -0.5287053709549374, -0.26063020662303465, -0.47782696115697104]",{'runtime': 5},-63.77442559962026,"[1.362370190488726, 0.2581262554158063, 0.03262120734956641, 0.27832975154898165, 0.16047265388417026, 0.251857569473415, 0.02695065816023275, -0.004381595936575894, 0.07058180143436302, 0.036503655614904755, -0.010977849625317691]",0.0025937557220458984,3.0146524721024663,6.238927602767944,0.01,0.4057469294831477,1.0228498961739567,LR,0.2,22.638286168473854,18.51813740343948,,0.5185575168861185,True,"[2.143639984342285, 0.729670578216882, 0.47356429876267897, 0.9491715743734176, 0.6649363014033466, 0.8155709792515997, 0.1841198272138754, 0.36194647281496994, 0.5992871723893004, 0.2971338622379394, 0.46684911153165337]","[12.35523488373364, 4.886916455197824, 3.9293608979864527, 6.417449265174817, 4.650458829452139, 5.4865629007719985, 1.4174328765670596, 3.3598426599157096, 4.970132353742093, 2.0777292134294725, 3.9646092540202407]",-5.223435864729675,1.6685703343422746,"[15.977237628286831, 6.329917560207775, 5.290394712664087, 8.293638439592282, 6.121956663352623, 7.105893490734078, 1.9470541195887363, 4.6165852895118915, 6.688447036370235, 2.776112590859664, 5.4076692049076165]",1709942266.9086416,,"[-0.0796502891720079, 0.2530243346063167, 0.3480206126740415, 0.40740894300062586, 0.33242608623616476, 0.3327551357470103, 0.1158696747652414, 0.30593267967487886, 0.40049313130282194, 0.1965142898769424, 0.40185787339043066]","[1.362370190488726, 0.2581262554158063, 0.03262120734956641, 0.27832975154898165, 0.16047265388417026, 0.251857569473415, 0.02695065816023275, -0.004381595936575894, 0.07058180143436302, 0.036503655614904755, -0.010977849625317691]",5,"[0.09159994289216504, 0.44495803134331824, 0.8469233545319902, 0.6348163699151067, 0.6360451403822539, 0.5401031119775217, 0.3156044162580001, 0.8928436334221913, 1.0386937456779584, 0.35992497351108205, 0.978968416543966]",53.51572958999144,5.0,30,3,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hyperboloid,True,0.2,10,True,5.0,run_o8y651i5
