,_step,rmsd_linear,lr_duration_time,estimator_coef_err_sum,estimator_intercept_err,X,_wandb,geodesic_tol,estimator_coef_err,model,estimator_intercept_hat,estimator_coef_err_norm,true_coef,lr_coef_err,linear_noise,noise_factor,lr_intercept_err,lr_intercept_err_sum,_runtime,_timestamp,true_intercept,lr_coef_err_sum,estimator_intercept_err_norm,estimator,rmsd_geodesic,lr_coef_err_norm,estimator_intercept_err_sum,estimator_coef_hat,linear_coef_hat,linear_intercept_hat,lr_intercept_err_norm,estimator_duration_time,line vs geodesic,n_gr_iterations,n_gr_jacobian_evaluations,n_gr_function_evaluations,n_X,model,full_run,use_cuda,device_id,estimator,tol_factor,project_dir,torch_dtype,dataset_name,linear_noise,noise_factor,space_dimension,project_linear_noise,0
0,4,0.10665411280268522,0.0020661354064941406,-0.019968573419586536,"[0.007005624993886961, 0.004225524891727839, -0.0012153806191745051, -0.0030665392168764405, 0.0008228792146574571, 0.0001610671742691694, -0.001254699410321039, -0.00508612177516643, -0.010233062048211117, 1.1897514949676946e-05, 0.0029782365196997507]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 4},0.01,"[-0.00194853263155903, 0.0121261116525401, 0.0004468667226366352, -0.009822790053469768, 0.002626484745575173, -0.005166812898623613, 0.0062950002683451675, -0.07634475331910195, 0.05364807922409587, 0.0008461547982297167, -0.0026743819282548376]",3,"[0.45954094286604463, 0.3362001948438962, 0.22215573839177177, 0.4459004471604567, 0.30940147056001926, 0.3803415726710907, 0.08715544765791809, 0.17395173832107655, 0.2898297799318667, 0.1386151804927268, 0.21482886010041016]",0.09505395164844643,"[-0.27980862417507113, -0.06746240918355981, 0.19265774908676395, -0.07584816339791145, 0.009244901595345856, -0.0692470202783719, 0.0529386679278695, 0.2618733019318816, 0.2425143248171507, 0.012221404399084037, 0.22838440316162648]","[0.00011405534370173552, -0.01346581182020773, -0.001321414072026017, 0.008069115259017323, -0.003851206954615888, 0.003663556137768864, -0.006636022024761101, 0.07567101203644089, -0.05476593534764029, -0.0013938904926343587, 0.001817582680861629]",True,0.2,"[-0.016545592106308737, -0.011204998607145356, -0.003396691177596861, -0.006190615195900584, -0.007246126968596833, -0.008057079356935892, -0.0005547227017322631, 0.0014746394862914514, 0.004215724584398395, -0.002889594521735095, -0.00743804642897225]",-0.057833102994234026,6.491602420806885,1709515976.4818714,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]",0.007901040745905058,0.01481709237141315,Lin2015,0.10673212803015963,0.09513750235493378,-0.005650572760558678,"[-0.2803338715959563, -0.08139593496343754, 0.19102727707348696, -0.06839937456034928, 0.004963262448415089, -0.0661125865673872, 0.04618139725377367, 0.33730231632058344, 0.1873451849619546, 0.010634675663245422, 0.2299031208853883]","[-0.2796945688313694, -0.08092822100376754, 0.19133633501473793, -0.06777904813889413, 0.0053936946407299674, -0.06558346414060304, 0.0463026459031084, 0.33754431396832246, 0.18774838946951045, 0.010827513906449676, 0.2302019858424881]","[0.4499502750963353, 0.32918366144700306, 0.21751932478570263, 0.4365944579695711, 0.3029442293551466, 0.3724038040802288, 0.0853365043063329, 0.17032134726212975, 0.2837810019671473, 0.13572226710909482, 0.2103453592142465]",0.025505325464392336,0.003958940505981445,,,,,30,3,True,False,-1,Lin2015,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,10,True,run_fbo5dpaj
1,4,0.10056044346285248,0.001931190490722656,-0.01906644368376191,"[0.00010769126191945144, 0.004669085020407249, -0.0030852800151051074, 0.0009604102619862332, 0.005660043281657312, -0.007947055720192941]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,"[-0.015273828526560508, 0.01731535493808639, -0.06931079687442043, -0.0009660727658040296, 0.024704351917049172, 0.024464547627887495]",3,"[0.5152993114928403, 0.3714084333616904, 0.24716402070668375, 0.4882497338388138, 0.3370528987220681, 0.4282988243508313]",0.08091260908366056,"[-0.22292968373167657, 0.08226288286311118, 0.44551225102136494, -0.07990928267638758, 0.22241005649961337, -0.14727712474340615]","[0.01931027226123666, -0.014403510841568268, 0.07124515636532358, 0.004791104055464054, -0.022061072390120035, -0.021114018882643165]",True,0.2,"[-0.011764694463876846, -0.013070918567042122, -0.0025060841712754023, -0.012005484820820145, -0.013284671244446322, -0.0017420096798612672]",-0.054373862947322105,6.328160762786865,1709515963.1425788,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]",0.03776793056769283,0.01128915752165351,Lin2015,0.10066343452977954,0.08131216041487695,0.00036489409067219647,"[-0.20708865653060496, 0.06535887018890736, 0.5150933792407881, -0.07840531279608871, 0.1980797804101554, -0.17127465918198706]","[-0.2036194114704399, 0.06785937202154291, 0.5167574073866885, -0.07511817862092353, 0.20034898410949337, -0.16839114362604932]","[0.5036094701718195, 0.3629828338034278, 0.2415569723022211, 0.4771735266980137, 0.32940667289763126, 0.4185826357533029]",0.025282131228771643,0.0038290023803710938,,,,,30,3,True,False,-1,Lin2015,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,5,True,run_51swtoen
2,4,0.06885065716761872,0.002020120620727539,0.009594028002128684,"[0.001040345964016698, 0.00576409265416894, -0.0022341038633461596, -0.004313078686209337]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,"[-0.014841935759717394, 0.029609429230650075, 0.0038954461355232423, -0.00906891160432724]",3,"[0.6123920938087799, 0.4418398751936629, 0.29273415913933964, 0.5865664158493312]",0.03456039662304698,"[0.02547580789327419, 0.3115053658478457, -0.10387523658009457, -0.2144822748315094]","[0.02079654103257412, -0.025306188560870413, -0.0010528556596963168, 0.014764984007141936]",True,0.2,"[-0.0061797421643342565, -0.009472110067631878, -0.00022264399818544556, -0.0006096311544152577]",-0.016484127384566838,6.253984212875366,1709515950.0004432,"[0.6134147007763507, 0.4475911208106732, 0.29049160208307806, 0.5822363974899817]",0.009202480819149324,0.007609267486186936,Lin2015,0.06887472162844478,0.03594457617178396,0.0002572560686301406,"[0.0420299799742456, 0.2831383151578719, -0.10695601898861996, -0.2037807514336893]","[0.04627234892584831, 0.2861991772869753, -0.10492809223979088, -0.19971729082436743]","[0.6072349586120165, 0.4381190107430413, 0.2902689580848926, 0.5816267663355664]",0.01132834069249974,0.0038459300994873047,,,,,30,3,True,False,-1,Lin2015,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,3,True,run_ickrxbx2
3,5,0.04644067783757573,0.001407623291015625,0.0027184222178276776,"[-0.0001304136350924745, 0.001803362202910108, -0.0024769233207063146]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,"[0.0009509136214547534, -0.006981248620668568, 0.008748757217041492]",3,"[0.7546234522057401, 0.5487285710872255, 0.3597782659551058]",0.011233112741435054,"[-0.06153535730683801, -0.06440989090257054, 0.22918386477442648]","[-0.0031499203147992427, 0.00538162010641742, -0.009796392839813928]",True,0.2,"[-0.0025600667420141443, -0.003759756750955856, 0.0011941918896241632]",-0.005125631603345837,6.411364793777466,1709515937.042261,"[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]",-0.00756469304819575,0.003066638564904842,Lin2015,0.046459287121526104,0.011612628713230213,-0.0008039747528886809,"[-0.06297025850877173, -0.05778118526702038, 0.22020513351232135]","[-0.06468527762163725, -0.05902827079615312, 0.21938747193461255]","[0.7519294236936876, 0.5467695935182594, 0.35849384668127227]",0.004702744604926912,0.0023031234741210938,"{'size': 103858, '_type': 'image-file', 'width': 800, 'format': 'png', 'height': 800, 'sha256': '8566c2dde7cf2ef488ff526d0771be40ae7f50f36a07f6e97dbde16f66169912', 'path': 'media/images/line vs geodesic_5_8566c2dde7cf2ef488ff.png'}",,,,30,3,True,False,-1,Lin2015,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,2,True,run_2vh1iuxe
4,4,0.045052399692689975,0.002295970916748047,0.012439046864037448,"[-0.004019568380091987, 0.001526966430634047, 0.00019242523367959952, 0.002976886449885197, 0.0015402054372108398, -0.0003397831825467934, 0.0001323324299627171, -0.0016244003966387754, -0.003344515850681906, 0.0011798273132159751, 0.0033849406414429295]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,"[-0.013521917560457177, 0.006327909322613748, -0.005042452820704202, -0.0008092899303139001, -0.00044225628027462147, -0.0018555695007436424, -0.0004510411191745029, 0.0048777380857947805, 0.009168360373824735, -0.0003991858313818243, 0.014586752124854052]",3,"[0.47052870580245487, 0.33887129242566055, 0.22072983551700193, 0.4398206543706892, 0.3086588953065066, 0.38081143402910256, 0.08576132144086157, 0.17047591448332342, 0.2829177635565239, 0.13743593258565573, 0.2144045609877467]",0.023949780501831715,"[-0.27980862417507113, -0.06746240918355981, 0.19265774908676395, -0.07584816339791145, 0.009244901595345856, -0.0692470202783719, 0.0529386679278695, 0.2618733019318816, 0.2425143248171507, 0.012221404399084037, 0.22838440316162648]","[0.01272392612909895, -0.006901825506630113, 0.004668478758112965, 6.458286015097181e-05, -8.04651196039119e-05, 0.0012102551285740617, 0.00030574931649877263, -0.005166886167499829, -0.00964833972970136, 0.00016652312448432564, -0.014949437191894205]",True,0.1,"[-0.0027062045636111476, -0.0063707766518682485, -0.003347534622271331, -0.009263652693623448, -0.005952159675137625, -0.005103536819520027, -0.0013582030968015413, -0.0008123968160824724, -0.0006995408264792169, -0.0031443247466018953, -0.006449606488093479]",-0.04520793700009043,6.546634912490845,1709515923.902103,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]",-0.01760743839840937,0.007521097837398863,Lin2015,0.04505761532270613,0.024004116430162117,0.001605316126071843,"[-0.26611901304898544, -0.07366875550056882, 0.19777924056847385, -0.07488091891041873, 0.009797909547008982, -0.0672552105198933, 0.05342042865539569, 0.2570562903436242, 0.23344662859820312, 0.012669992818433846, 0.21387499707788388]","[-0.2670846980459722, -0.07436423469018992, 0.1973262278448769, -0.07578358053776048, 0.009164436475741944, -0.06803676514979784, 0.05324441724436827, 0.25670641576438175, 0.23286598508744935, 0.01238792752356836, 0.21343496596973227]","[0.4637896626390329, 0.33401788340228017, 0.2175684813410282, 0.4335214204718482, 0.3042381966486058, 0.37535734661764464, 0.08453302391126362, 0.16803431095975585, 0.27886573655626967, 0.13546753688422802, 0.21133379915512523]",0.016151908370227237,0.004285335540771484,,,,,30,3,True,False,-1,Lin2015,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.1,10,True,run_22nxhcip
5,4,0.05599277751040173,0.003197908401489258,0.01109321209749524,"[0.0009184744577436232, 0.0017845005077195553, 0.001474287344807701, -0.00252676534525742, 0.0015326839138944948, -0.0018440659904508936]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,"[-0.02397375003934432, 0.005568421611491417, 0.011940078608785045, 0.005676072851053426, 0.005458781119218881, 0.006423607946290794]",3,"[0.5144604094999399, 0.374272688606027, 0.24259099768103576, 0.4917102770868936, 0.3411617926449478, 0.4221725762189031]",0.02918205477244379,"[-0.22292968373167657, 0.08226288286311118, 0.44551225102136494, -0.07990928267638758, 0.22241005649961337, -0.14727712474340615]","[0.02220534489586598, -0.006854150098301981, -0.012773218268156972, -0.0073687034712209, -0.006630831635232953, -0.007876634717168984]",True,0.1,"[-0.008960234577503279, -0.007634920424478164, -0.0052663322478091745, -0.005159387712182217, -0.006865533236706967, -0.004755109783926292]",-0.038641517982606094,6.350038290023804,1709515910.5886185,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]",-0.01929819329421581,0.004282032582043412,Lin2015,0.05600725479418149,0.029385692333679908,0.0013391148884570605,"[-0.1982218898985171, 0.07722927769803449, 0.4339190488888207, -0.08488619887373755, 0.21743871109438853, -0.15310021890584063]","[-0.2007243388358106, 0.0754087327648092, 0.432739032753208, -0.08727798614760848, 0.2157792248643804, -0.15515375946057514]","[0.506413930058193, 0.3684188319459918, 0.23879672422568732, 0.4840196238066517, 0.3358258109053706, 0.4155695356492378]",0.01620734297047022,0.004162788391113281,,,,,30,3,True,False,-1,Lin2015,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.1,5,True,run_f9vd4fij
6,4,0.045442690040225275,0.0019440650939941408,-0.002461811295985973,"[0.0010789731773711564, -0.002077057242309943, 0.00262439809047188, -0.0008269863311505254]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,"[0.008916002035852764, -0.0013810644885731138, -0.003322823679412834, -0.00667392516385279]",3,"[0.6123397253728307, 0.4496711075736827, 0.2878690880042367, 0.5830671864505779]",0.01170405338855315,"[0.02547580789327419, 0.3115053658478457, -0.10387523658009457, -0.2144822748315094]","[-0.00715663840090245, 0.0026740903376262226, 0.004149157566973746, 0.008349854795138861]",True,0.1,"[-0.005868696781264893, -0.0014402780704008131, -0.00487610656023324, -0.003733771397867902]",-0.015918852809766848,6.357306241989136,1709515897.479767,"[0.6134147007763507, 0.4475911208106732, 0.29049160208307806, 0.5822363974899817]",0.00801646429883638,0.003612439845104809,Lin2015,0.045450854950580634,0.012054203248267238,0.0007993276943825678,"[0.01611604852762373, 0.3125615963549116, -0.10076179562043204, -0.20823022210456688]","[0.018319169492371744, 0.31417945618547194, -0.09972607901312082, -0.20613242003637053]","[0.6075460039950858, 0.4461508427402724, 0.2856154955228448, 0.5785026260921138]",0.008615884566821476,0.003755331039428711,,,,,30,3,True,False,-1,Lin2015,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.1,3,True,run_d55fljld
7,5,0.01911754207026737,0.0013661384582519531,0.0027399704970917857,"[-0.0020236485556606176, -0.0008871629361132394, 0.005746247172498109]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,"[0.00010091351844882662, -0.005273890920535998, 0.007912947899178957]",3,"[0.7565274629514478, 0.5514269575413859, 0.3515601062363255]",0.009509934460081122,"[-0.06153535730683801, -0.06440989090257054, 0.22918386477442648]","[-0.0007937930260552284, 0.004769282273991107, -0.008230087202020259]",True,0.1,"[-8.630219848759779e-07, -0.0005884840233284505, -0.006687000265068466]",-0.007276347310381792,6.638785123825073,1709515884.600527,"[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]",-0.00425459795408438,0.0061564249463047045,Lin2015,0.01911809430434919,0.009545181828025976,0.002835435680724252,"[-0.06054176355866183, -0.05833779637240706, 0.22178438044541063]","[-0.06232915033289324, -0.05964060862857944, 0.22095377757240625]","[0.7544886274137169, 0.5499408662458868, 0.35061265452657964]",0.006712844906263328,0.0025429725646972656,"{'sha256': '93784adf5b7f8cdc409d8afafddb5752fd18fb1219e1b2a58c13afbaa6076172', 'path': 'media/images/line vs geodesic_5_93784adf5b7f8cdc409d.png', 'size': 103832, '_type': 'image-file', 'width': 800, 'format': 'png', 'height': 800}",,,,30,3,True,False,-1,Lin2015,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.1,2,True,run_0gpr8o18
8,4,0.0046522568097256065,0.0020751953125,0.003782216076544037,"[0.0004157838530793323, 0.00012932653962316465, -0.00018969139361466048, -0.00014838529378502496, 4.87918991799452e-05, 9.275560262195226e-05, 3.40595701376345e-05, -0.0005185488843969244, -0.00036147282154963545, 5.053140045138682e-05, -6.685446688720065e-06]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,"[-0.0029528555312648974, -0.0004397001217760488, 0.0015575337366001696, -0.0008949897020038705, -0.00011239214736515069, -0.0006485233556975112, 0.0010879528272597083, -0.0006908381562027444, 0.006294843793848037, 2.808455747358926e-05, 0.0005531001756727549]",3,"[0.4660802376448083, 0.3402594461377442, 0.22110578051100352, 0.44293360503187895, 0.31014166707141133, 0.3803682537277476, 0.08585719585614614, 0.16936531265452484, 0.2799268428062833, 0.1385613760928764, 0.217790163166881]",0.007359720788092413,"[-0.27980862417507113, -0.06746240918355981, 0.19265774908676395, -0.07584816339791145, 0.009244901595345856, -0.0692470202783719, 0.0529386679278695, 0.2618733019318816, 0.2425143248171507, 0.012221404399084037, 0.22838440316162648]","[0.0028796299547392268, 0.00038627487990176845, -0.001592198881999518, 0.0008255027230747863, 6.370876688093809e-05, 0.0005888102277834401, -0.001101433812590931, 0.0006643549998444076, -0.006338708176521685, -4.984012909610078e-05, -0.0005872793207035987]",True,0.01,"[-0.006885628345072725, -0.004852602779621462, -0.0028795656152442173, -0.006000151677576726, -0.004353991317838035, -0.00537279810436514, -0.001225877336755915, -0.0018324782159583888, -0.0035243026892688434, -0.0019739567836105643, -0.003016546143282145]",-0.04191789900859416,6.343098163604736,1709515873.093377,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]",-0.004261178768687266,0.0008135727109325887,Lin2015,0.004652263263645423,0.007361379739659744,-0.0004535349749415496,"[-0.2770308573968681, -0.06715049898430869, 0.19101722690046133, -0.07511946508823802, 0.009240828008819651, -0.06874134062650393, 0.05181846977817088, 0.2625006416554954, 0.23611443782397276, 0.012141281282695085, 0.22774952517432712]","[-0.2769289942203319, -0.06707613430365804, 0.19106555020476443, -0.07502266067483666, 0.009308610362226794, -0.06865821005058846, 0.05183723411527857, 0.262537656931726, 0.23617561664062903, 0.012171564269987934, 0.22779712384092288]","[0.4596102388575713, 0.33553605727452696, 0.2180364503480553, 0.43678492148789494, 0.3058363650059054, 0.3750880853327995, 0.08466534967130925, 0.1670142295598799, 0.27604097469348005, 0.13663790484721935, 0.21476685949993657]",0.013905217248076172,0.004110813140869141,,,,,30,3,True,False,-1,Lin2015,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.01,10,True,run_oc6q6cfv
9,4,0.005825492273840873,0.0012431144714355469,0.0025133438667332003,"[-5.059481469726901e-05, -0.00017014526315806133, 0.0006916843050562838, -0.00041151750003248777, -5.0692793911011336e-05, 0.0003347795009347454]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",{'runtime': 5},0.01,"[-0.002464387963883735, 0.0011783450498071555, 0.003283946658804604, -0.0005541268813612638, 0.0019711564112025737, -0.0009015894078361342]",3,"[0.5154249640493948, 0.3762240469589111, 0.243371468869932, 0.489590723314819, 0.3427421729859442, 0.41999003269789176]",0.004821969349675343,"[-0.22292968373167657, 0.08226288286311118, 0.44551225102136494, -0.07990928267638758, 0.22241005649961337, -0.14727712474340615]","[0.002827333168231805, -0.0009134388900054607, -0.0031124738750377134, 0.0008988303620926508, -0.001729811064602793, 0.0011973843274114548]",True,0.01,"[-0.007566858463246895, -0.005390060991344259, -0.004288465357206089, -0.006824132196974975, -0.00501468562655305, -0.006541802149778564]",-0.03562600478510383,6.39088249206543,1709515860.0390377,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]",-0.0008321759719100569,0.0008910275810232707,Lin2015,0.0058255052134244265,0.004873350863556083,0.0003435134341921997,"[-0.22032319052211055, 0.08118824630365888, 0.442295501744718, -0.07922022328512753, 0.2205333934728538, -0.14625969014278392]","[-0.22010235056344477, 0.08134944397310571, 0.4423997771463272, -0.07901045231429493, 0.22068024543501055, -0.1460797404159947]","[0.5078073061724494, 0.3706636913791256, 0.2397745911162904, 0.4823548793218589, 0.33767665851552453, 0.4137828432833855]",0.014805811938390092,0.0025048255920410156,,,,,30,3,True,False,-1,Lin2015,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.01,5,True,run_45hgatk7
