,true_intercept,model,_timestamp,lr_intercept_err,estimator_coef_err_sum,estimator_intercept_err,X,geodesic_tol,lr_coef_err_sum,linear_intercept_hat,estimator_coef_err_norm,estimator_intercept_err_sum,_wandb,estimator,estimator_coef_hat,lr_intercept_err_norm,estimator_intercept_err_norm,_step,lr_intercept_err_sum,rmsd_geodesic,linear_coef_hat,estimator_intercept_hat,rmsd_linear,true_coef,noise_factor,lr_coef_err_norm,estimator_coef_err,estimator_duration_time,_runtime,linear_noise,lr_duration_time,lr_coef_err,line vs geodesic,mesh_diameter,estimator_coef_hat_fig,n_vertices,n_gr_iterations,n_faces,estimator_y_prediction_fig,estimator_intercept_hat_fig,true_coef_fig,true_intercept_fig,n_gr_function_evaluations,mesh_sequence_vertices,n_gr_jacobian_evaluations,n_X,model,full_run,use_cuda,device_id,estimator,tol_factor,project_dir,torch_dtype,dataset_name,linear_noise,noise_factor,space_dimension,project_linear_noise,n_steps,end_shape,start_shape,n_subdivisions,0
0,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]",2,1709768937.910645,"[-0.03156291958615992, -0.003775100181468871, -0.009713791031714105, -0.004341050468852359, -0.0049144029365791875, -0.0063893846168925905, -0.0019160924504184743, -0.0047082281114230184, -0.01312326692496879, -0.0023881259856775583, -9.676758596594004e-05]",-0.14228630784738605,"[0.04461384891300041, 0.013673703785270497, 0.01599636426011461, 0.017228487979960405, 0.013906065752584795, 0.017410961837410865, 0.0043950347797993145, 0.009563011645966265, 0.021057543778714716, 0.00640239845554641, 0.006475214113620231]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.01,0.14267546358409203,"[0.4349329476164841, 0.33661355987267955, 0.2112022249315854, 0.4384440226966193, 0.30527595338716423, 0.3740714988202721, 0.08397513455764669, 0.1641384796644153, 0.2664420104577801, 0.13622373564515236, 0.21768663805725277]",0.08063651319169078,0.17072263530198853,{'runtime': 5},LR,"[-0.2402394884828996, -0.0751585789971348, 0.20096942652245003, -0.06561862014225893, 0.00851013016365372, -0.07764688244525457, 0.05247247036849872, 0.2807408687617527, 0.30463801485552994, 0.012406145164981218, 0.2490705136995815]",0.03731512814221579,0.06215864534178716,4,-0.08292912988012081,,"[-0.2402394884828996, -0.0751585789971348, 0.20096942652245003, -0.06561862014225893, 0.00851013016365372, -0.07764688244525457, 0.05247247036849872, 0.2807408687617527, 0.30463801485552994, 0.012406145164981218, 0.2490705136995815]","[0.4349329476164841, 0.33661355987267955, 0.2112022249315854, 0.4384440226966193, 0.30527595338716423, 0.3740714988202721, 0.08397513455764669, 0.1641384796644153, 0.2664420104577801, 0.13622373564515236, 0.21768663805725277]",0.10902046064885008,"[-0.27980862417507113, -0.06746240918355981, 0.19265774908676395, -0.07584816339791145, 0.009244901595345856, -0.0692470202783719, 0.0529386679278695, 0.2618733019318816, 0.2425143248171507, 0.012221404399084037, 0.22838440316162648]",0.2,0.08070487730172317,"[-0.039510878553094875, 0.007739928578958832, -0.008283749123226491, -0.010172583901064972, 0.000774552328395928, 0.008448631546043528, 0.000477176773619338, -0.018846044800024997, -0.062088401188064635, -0.00016697671960231794, -0.020657962789325385]",0.0010712146759033203,6.495008945465088,True,0.0010712146759033203,"[0.03956913569217152, -0.007696169813574988, 0.008311677435686088, 0.01022954325565252, -0.0007347714316921355, -0.008399862166882668, -0.0004661975593707804, 0.01886756682987112, 0.0621236900383792, 0.00018474076589718345, 0.02068611053795502]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,10.0,False,,,,,run_2lgqy5n3
1,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]",2,1709768924.525288,"[0.0013767775535848958, -0.00880788565032875, 0.011576951568386867, -0.003106323945989864, 0.0040834623899881906, -0.0006213522949427563]",-0.03827739247822928,"[-0.001294926680135866, 0.008866572803861661, -0.011537035216882985, 0.003183548124985891, -0.004028701891387099, 0.0006879232146740355]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.01,0.024258275422276113,"[0.5167509421892812, 0.36724586672014115, 0.25564000804188336, 0.486072687572844, 0.34677480653206577, 0.41970329313822136]",0.0386067423964197,-0.004122619644884362,{'runtime': 5},LR,"[-0.21352747780041703, 0.06645455367947754, 0.463612828933607, -0.09444643529804168, 0.24431191227700796, -0.1420780071367385]",0.015498714975778032,0.015499509215835185,4,0.004501629620698583,,"[-0.21352747780041703, 0.06645455367947754, 0.463612828933607, -0.09444643529804168, 0.24431191227700796, -0.1420780071367385]","[0.5167509421892812, 0.36724586672014115, 0.25564000804188336, 0.486072687572844, 0.34677480653206577, 0.41970329313822136]",0.1208147426805916,"[-0.22292968373167657, 0.08226288286311118, 0.44551225102136494, -0.07990928267638758, 0.22241005649961337, -0.14727712474340615]",0.2,0.03720197018218388,"[-0.012429374429933889, 0.013628270790329494, -0.019566180848392567, 0.01167679091081686, -0.02392402369069907, -0.007662875210350112]",0.0020842552185058594,6.344778776168823,True,0.0020842552185058594,"[0.00940220593125951, -0.015808329183633632, 0.018100577912242063, -0.014537152621654089, 0.02190185577739459, 0.005199117606667664]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,5.0,False,,,,,run_ff2ko8w7
2,"[0.6134147007763507, 0.4475911208106732, 0.29049160208307806, 0.5822363974899817]",2,1709768911.2980764,"[-0.003937174773752217, 0.006578399496776521, 0.0005208999110375423, 0.0010195006325004474]",-0.03867894330077612,"[0.003937174773752217, -0.006578399496776521, -0.0005208999110375423, -0.0010195006325004474]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.01,0.035170879967323335,"[0.6094775260025985, 0.4541695203074497, 0.2910125019941156, 0.5832558981224821]",0.026621836429363752,-0.004181625266562294,{'runtime': 4},LR,"[0.0214926141050103, 0.3263987286775072, -0.0992162882057028, -0.1948805122799754]",0.007751606504154357,0.007751606504154357,4,0.004181625266562294,,"[0.0214926141050103, 0.3263987286775072, -0.0992162882057028, -0.1948805122799754]","[0.6094775260025985, 0.4541695203074497, 0.2910125019941156, 0.5832558981224821]",0.06769431153881433,"[0.02547580789327419, 0.3115053658478457, -0.10387523658009457, -0.2144822748315094]",0.2,0.025369528655707692,"[0.002875143141784983, -0.015710439254608854, -0.005185843525955816, -0.020657803661996432]",0.001888751983642578,6.333543300628662,True,0.001888751983642578,"[-0.003983193788263895, 0.014893362829661472, 0.0046589483743917776, 0.01960176255153398]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,3.0,False,,,,,run_v3uatojh
3,"[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]",2,1709768897.64471,"[-0.0012483092070303403, -0.0010735574617360966, -0.002446751622357246]",-0.053063626967569034,"[0.003063883175664084, 0.0023980684544939734, 0.0033035636515177935]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.01,0.0540347529461618,"[0.7532411812286715, 0.5494557928074791, 0.35485290316929086]",0.03693671167316367,0.00876551528167585,{'runtime': 5},LR,"[-0.04641893026184479, -0.05924888420137562, 0.26294118397440014]",0.0029491346190897738,0.005104081232326355,5,-0.004768618291123683,,"[-0.04641893026184479, -0.05924888420137562, 0.26294118397440014]","[0.7532411812286715, 0.5494557928074791, 0.35485290316929086]",0.04345898054555556,"[-0.06153535730683801, -0.06440989090257054, 0.22918386477442648]",0.2,0.03734566850848022,"[-0.014675386432891749, -0.004839239623501822, -0.033549000911175464]",0.0013644695281982422,6.920400142669678,True,0.0013644695281982422,"[0.01511642704499322, 0.005161006701194924, 0.03375731919997366]","{'height': 800, 'sha256': 'f14593fc90d0e40c348a0d7f6f7938e7188edf009bd1b9a5c30bce4f8946124e', 'path': 'media/images/line vs geodesic_5_f14593fc90d0e40c348a.png', 'size': 103879, '_type': 'image-file', 'width': 800, 'format': 'png'}",,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.2,2.0,False,,,,,run_ypccem3m
4,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]",2,1709768883.02103,"[-0.00866078621735844, -0.00356339931791183, -0.0037022493208128393, -0.005816540331521014, -0.004434558000142141, -0.005419743841060143, -0.0008021510831583423, -0.004345763796775481, -0.0064524341791896145, -0.002119904106890891, -0.009644437243293669]",-0.00788618167380127,"[0.016577353037534104, 0.009371445170217374, 0.0074558268424790575, 0.013358251339762872, 0.0097137377836935, 0.011895091398887392, 0.002268822265061879, 0.00719727562161615, 0.0111822862928444, 0.0044773787103667695, 0.01327615747538649]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.01,0.015789573254378353,"[0.4578350809852856, 0.3368252607362366, 0.21721376664248668, 0.43696853283395065, 0.3057557983236013, 0.3750411395961045, 0.08508907592490682, 0.16450094397906284, 0.2731128432035593, 0.13649195752393903, 0.20813896839992505]",0.0330086877214266,0.10677362593785,{'runtime': 5},LR,"[-0.27336502451289346, -0.06630015658231402, 0.16717009623007925, -0.06964474617532114, 0.008776232250169061, -0.06605737091658452, 0.04932336858624585, 0.26357261822823297, 0.25829756613792476, 0.012171600504297345, 0.2393139253893501]",0.01851909639694329,0.03479669362447202,4,-0.054961967438114406,,"[-0.27336502451289346, -0.06630015658231402, 0.16717009623007925, -0.06964474617532114, 0.008776232250169061, -0.06605737091658452, 0.04932336858624585, 0.26357261822823297, 0.25829756613792476, 0.012171600504297345, 0.2393139253893501]","[0.4578350809852856, 0.3368252607362366, 0.21721376664248668, 0.43696853283395065, 0.3057557983236013, 0.3750411395961045, 0.08508907592490682, 0.16450094397906284, 0.2731128432035593, 0.13649195752393903, 0.20813896839992505]",0.05694426994381856,"[-0.27980862417507113, -0.06746240918355981, 0.19265774908676395, -0.07584816339791145, 0.009244901595345856, -0.0692470202783719, 0.0529386679278695, 0.2618733019318816, 0.2425143248171507, 0.012221404399084037, 0.22838440316162648]",0.1,0.03355432704511885,"[-0.005235886977103976, -0.00027740824186367474, 0.026060106075157435, -0.005053939752711886, 0.00127345728201567, -0.002202519313439108, 0.003838701708028761, -0.001263775158846514, -0.01506112747935362, 0.00040925078315242475, -0.010373040598836786]",0.0021338462829589844,6.454447984695435,True,0.0021338462829589844,"[0.006443599662177668, 0.0011622526012457918, -0.025487652856684695, 0.00620341722259031, -0.0004686693451767948, 0.003189649361787381, -0.003615299341623648, 0.001699316296351394, 0.015783241320774022, -4.980389478669196e-05, 0.010929522227723617]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.1,10.0,False,,,,,run_2ysd6jbj
5,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]",2,1709768867.9284177,"[-0.002383681097081758, -0.004611242855053044, -0.0024822032533473037, -0.007488241305462218, -0.0008890156633700741, -0.006544038666588259]",0.01153616520120479,"[0.007687060368529175, 0.00846121037218317, 0.004984386950992903, 0.012486115237680118, 0.004420216410872313, 0.010837681763063932]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.01,-0.012649695290532406,"[0.5129904835386145, 0.3714425095154169, 0.2415808532201492, 0.4816907702133717, 0.3418023284787075, 0.41378060676657585]",0.013034359066418354,0.04887667110332161,{'runtime': 5},LR,"[-0.221437989217304, 0.07350193948509699, 0.4382930199959562, -0.07412958642370474, 0.22075486268392056, -0.14956284258187824]",0.011523687691018905,0.02117602002723839,4,-0.024398422840902656,,"[-0.221437989217304, 0.07350193948509699, 0.4382930199959562, -0.07412958642370474, 0.22075486268392056, -0.14956284258187824]","[0.5129904835386145, 0.3714425095154169, 0.2415808532201492, 0.4816907702133717, 0.3418023284787075, 0.41378060676657585]",0.047775059256015544,"[-0.22292968373167657, 0.08226288286311118, 0.44551225102136494, -0.07990928267638758, 0.22241005649961337, -0.14727712474340615]",0.1,0.013132617384706564,"[-0.0017327230881925837, 0.008585745992399224, 0.007105406116656998, -0.006007247100861285, 0.0014947616040883738, 0.0020902216771140625]",0.0020051002502441406,6.555442571640015,True,0.0020051002502441406,"[0.0014916945143725602, -0.008760943378014183, -0.007219231025408723, 0.005779696252682848, -0.001655193815692818, -0.00228571783847209]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.1,5.0,False,,,,,run_f6vwoj3r
6,"[0.6134147007763507, 0.4475911208106732, 0.29049160208307806, 0.5822363974899817]",2,1709768854.3400755,"[-0.004430001967529851, -0.00481509901578564, 0.0003701821256969495, -0.00429101017670841]",0.012048962402263837,"[0.008874842724954868, 0.008050691432804957, 0.001746715250131814, 0.008509512832530985]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.01,-0.010856704260820488,"[0.6089846988088209, 0.4427760217948875, 0.290861784208775, 0.5779453873132733]",0.019395263173401813,0.027181762240422624,{'runtime': 4},LR,"[0.024962695057844052, 0.2931421804910189, -0.09991896657726808, -0.21041895090289944]",0.007833255970982873,0.014799975971297253,4,-0.01316592903432695,,"[0.024962695057844052, 0.2931421804910189, -0.09991896657726808, -0.21041895090289944]","[0.6089846988088209, 0.4427760217948875, 0.290861784208775, 0.5779453873132733]",0.034291996514386795,"[0.02547580789327419, 0.3115053658478457, -0.10387523658009457, -0.2144822748315094]",0.1,0.019225829888853695,"[0.0008912397657509855, 0.018638603587568303, -0.003776438038046032, -0.00370444291300942]",0.0012903213500976562,6.21095871925354,True,0.0012903213500976562,"[-0.0005131128354301413, -0.01836318535682679, 0.003956270002826473, 0.004063323928609974]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.1,3.0,False,,,,,run_q50eev2d
7,"[0.7544894904357018, 0.5505293502692152, 0.3572996547916481]",2,1709768841.367617,"[-0.002748658057764475, -0.0011311217642702154, -0.002160374805305731]",0.0007688511020887967,"[0.005362234921895581, 0.0030401980742988943, 0.003396085118515635]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.01,-0.00033060333271432707,"[0.7517408323779373, 0.549398228504945, 0.35513927998634237]",0.009241332494459442,0.01179851811471011,{'runtime': 5},LR,"[-0.05526132419422584, -0.06414578227190632, 0.22231511969843576]",0.003674476406716897,0.007037738402411003,5,-0.006040154627340422,,"[-0.05526132419422584, -0.06414578227190632, 0.22231511969843576]","[0.7517408323779373, 0.549398228504945, 0.35513927998634237]",0.02112439728412832,"[-0.06153535730683801, -0.06440989090257054, 0.22918386477442648]",0.1,0.009306605384665888,"[-0.0060751231184544285, -0.0001188541600370685, 0.006962828380580294]",0.0011866092681884766,6.503217697143555,True,0.0011866092681884766,"[0.006274033112612168, 0.0002641086306642282, -0.006868745075990723]","{'height': 800, 'sha256': '2dc9180406c8949524ea61a254f3eccd771d532349e07e88a4f6e2ade1b246c5', 'path': 'media/images/line vs geodesic_5_2dc9180406c8949524ea.png', 'size': 103768, '_type': 'image-file', 'width': 800, 'format': 'png'}",,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.1,2.0,False,,,,,run_ybfnq526
8,"[0.466495867202644, 0.3403886600541484, 0.22091601596329952, 0.44278507316547167, 0.3101903563237434, 0.38046088343716467, 0.08589122700806516, 0.16884670777583832, 0.2795652773827489, 0.13861186163082992, 0.2177834056432187]",2,1709768827.2059093,"[-0.005449912171547555, -0.0046975948866133654, -0.0034041758231506403, -0.0060934974595108216, -0.0043137380311483176, -0.005150236332936153, -0.001184590828388274, -0.002424787403283974, -0.0030016861278828744, -0.001956773733796824, -0.003062224903857408]",0.007167379541848672,"[0.011576249880442202, 0.009161449149427405, 0.0062981322884366475, 0.011900329527830156, 0.00838128179402342, 0.010140482789624816, 0.0023109744773323337, 0.004638207567664143, 0.006675457323267631, 0.003774141989746626, 0.00591773501741133]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.01,-0.006627637625704527,"[0.46104595503109647, 0.33569106516753505, 0.21751184014014888, 0.4366915757059608, 0.3058766182925951, 0.3753106471042285, 0.08470663617967689, 0.16642192037255435, 0.276563591254866, 0.1366550878970331, 0.2147211807393613]",0.007618005833624577,0.08077444180520671,{'runtime': 5},LR,"[-0.27630085513197783, -0.06644102405930094, 0.190970898412584, -0.07485307134325386, 0.009188290264462155, -0.06898214512081374, 0.052840743851707526, 0.25691083528540026, 0.23917493358719813, 0.012163281031858509, 0.2261690114812391]",0.013233309812968554,0.026324519732913138,4,-0.04073921770211621,,"[-0.27630085513197783, -0.06644102405930094, 0.190970898412584, -0.07485307134325386, 0.009188290264462155, -0.06898214512081374, 0.052840743851707526, 0.25691083528540026, 0.23917493358719813, 0.012163281031858509, 0.2261690114812391]","[0.46104595503109647, 0.33569106516753505, 0.21751184014014888, 0.4366915757059608, 0.3058766182925951, 0.3753106471042285, 0.08470663617967689, 0.16642192037255435, 0.276563591254866, 0.1366550878970331, 0.2147211807393613]",0.013045255854344578,"[-0.27980862417507113, -0.06746240918355981, 0.19265774908676395, -0.07584816339791145, 0.009244901595345856, -0.0692470202783719, 0.0529386679278695, 0.2618733019318816, 0.2425143248171507, 0.012221404399084037, 0.22838440316162648]",0.01,0.007612834233713758,"[-0.0034251988227507746, -0.0009612003185942714, 0.0017258795763205603, -0.00091680079484055, 0.00011145377847204643, -0.0001975961459924347, 0.00011311074566066476, 0.0049923123351861, 0.0033888981404772422, 8.262769945984079e-05, 0.0022538933484502477]",0.0011076927185058594,6.52370023727417,True,0.0011076927185058594,"[0.0035077690430933006, 0.0010213851242588667, -0.0016868506741799516, 0.000995092054657587, -5.661133088370046e-05, 0.0002648751575581587, -9.79240761619718e-05, -0.004962466646481312, -0.0033393912299526096, -5.812336722552623e-05, -0.002215391680387369]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.01,10.0,False,,,,,run_7i4c4n3v
9,"[0.5153741646356963, 0.3760537523704699, 0.2440630564734965, 0.48917901151883386, 0.3426913441420776, 0.4203246454331641]",2,1709768813.798939,"[-0.007119808098994707, -0.005632309283667536, -0.004275022393029598, -0.007296396428776664, -0.004800191198670867, -0.0064848461709181016]",0.005776797441294765,"[0.014699557209577383, 0.011158710636474112, 0.007855589758993059, 0.014485560205433625, 0.009839594245729276, 0.012659968513739128]","[-0.5, -0.46551724137931033, -0.43103448275862066, -0.39655172413793105, -0.3620689655172414, -0.3275862068965517, -0.2931034482758621, -0.25862068965517243, -0.22413793103448276, -0.1896551724137931, -0.15517241379310345, -0.1206896551724138, -0.08620689655172414, -0.051724137931034475, -0.017241379310344862, 0.017241379310344862, 0.051724137931034475, 0.0862068965517242, 0.1206896551724138, 0.15517241379310345, 0.18965517241379315, 0.22413793103448276, 0.2586206896551724, 0.2931034482758621, 0.3275862068965517, 0.3620689655172413, 0.39655172413793105, 0.43103448275862066, 0.4655172413793104, 0.5]",0.01,-0.005125936666769873,"[0.5082543565367016, 0.3704214430868024, 0.2397880340804669, 0.4818826150900572, 0.3378911529434067, 0.413839799262246]",0.005738219987038753,0.07069898056994658,{'runtime': 4},LR,"[-0.2217821351279104, 0.08089678260638236, 0.44329666359759584, -0.0787265635271308, 0.21771325189985383, -0.14645483688294156]",0.014799420865170228,0.029482672332108783,4,-0.03560857357405747,,"[-0.2217821351279104, 0.08089678260638236, 0.44329666359759584, -0.0787265635271308, 0.21771325189985383, -0.14645483688294156]","[0.5082543565367016, 0.3704214430868024, 0.2397880340804669, 0.4818826150900572, 0.3378911529434067, 0.413839799262246]",0.01439747558654028,"[-0.22292968373167657, 0.08226288286311118, 0.44551225102136494, -0.07990928267638758, 0.22241005649961337, -0.14727712474340615]",0.01,0.0056768724401392275,"[-0.001006984511706971, 0.0014686056663542613, 0.002282029285855247, -0.0010493736907037782, 0.004790261783279154, -0.0007077410917831484]",0.001102447509765625,6.265935897827148,True,0.001102447509765625,"[0.0011475486037661742, -0.001366100256728814, -0.0022155874237690942, 0.0011827191492567862, -0.004696804599759519, 0.0008222878604645933]",,,,,,,,,,,,,,30,2,True,False,-1,LR,0.01,/home/adele/code/my28brains/project_regression,torch.float64,hypersphere,True,0.01,5.0,False,,,,,run_ntui9txz
